id,powiat,populacja_ogolem,populacja_produkcyjna,stadiony,hale_sportowe,sale_gimnastyczne,korty_tenisowe,plywalnie,wodociagi,drogi_utwardzone,drogi_gruntowe,gaz,technika_zawodowki,sciezki_rowerowe_na_obszar,sciezki_rowerowe_na_ludnosc,przystanki_zbiorkom,licea,kanalizacja,wynagrodzenia,odbior_odpadow,koszty_odpadow,szkoly_podstawowe
1,"Powiat bolesławiecki",89762,53992,23,1,0,3,2,88295,48.0,69.7,6.5,9.4,45587,25,437.3,6.35,422,5,74908,4887.95,0.0,0.00,35,
2,"Powiat dzierżoniowski",99935,58574,6,4,3,16,1,93979,101.8,48.7,37.4,17.9,78893,27,1222.5,5.85,368,4,72342,4690.20,0.0,0.00,29,
3,"Powiat głogowski",88447,51709,3,2,0,5,2,86669,94.7,47.4,24.3,12.2,64061,26,550.5,2.76,356,6,78723,4763.21,0.0,0.00,26,
4,"Powiat górowski",34552,20946,3,2,1,2,1,33674,69.1,147.6,24.2,51.7,13964,23,63.7,1.36,226,2,15251,4432.40,0.0,0.00,14,
5,"Powiat jaworski",49734,29740,2,0,0,1,1,45049,78.7,92.0,16.7,19.6,27896,26,180.6,2.11,224,1,39901,4932.98,0.0,0.00,20,
6,"Powiat karkonoski",63333,38097,6,2,2,2,0,53895,103.9,102.9,26.1,25.9,33546,12,110.0,1.09,368,5,40991,4526.41,0.0,0.00,26,
7,"Powiat kamiennogórski",42824,25703,4,0,0,7,1,38847,83.8,77.4,37.6,34.7,25038,25,207.2,1.91,148,1,34641,4532.19,0.0,0.00,11,
8,"Powiat kłodzki",156283,92001,16,6,15,22,9,134468,80.6,84.7,6.4,6.7,86786,21,192.3,2.02,536,9,102875,4747.93,0.0,0.00,59,
9,"Powiat legnicki",55110,33357,3,1,0,1,1,53507,66.3,89.6,21.1,28.5,21759,11,67.2,0.91,310,1,42183,4877.07,0.0,0.00,22,
10,"Powiat lubański",53852,32376,7,2,2,4,2,46302,104.2,82.9,9.1,7.2,28596,24,252,2,35828,4508.29,0.0,0.00,20,
11,"Powiat lubiński",105896,61295,4,4,1,11,2,105813,61.6,41.4,4.7,3.1,87046,23,626.7,4.21,346,5,100862,8920.41,0.0,0.00,25,
12,"Powiat lwówecki",45599,27535,7,0,0,2,0,35527,213.1,331.6,8.0,12.5,14144,20,114.1,1.78,180,5,26463,4622.42,0.0,0.00,21,
13,"Powiat milicki",36800,21556,3,1,0,6,1,34389,52.1,101.3,8.4,16.2,14504,25,134.3,2.61,176,2,23103,4338.67,0.0,0.00,16,
14,"Powiat oleśnicki",107268,64568,8,6,7,5,2,105070,78.8,77.1,21.6,21.2,48098,23,368.8,3.61,477,4,71560,4773.90,0.0,0.00,36,
15,"Powiat oławski",76733,45478,4,3,4,1,1,73042,65.5,44.7,15.1,10.3,45262,26,351.1,2.40,357,3,61432,4987.74,0.0,0.00,26,
16,"Powiat polkowicki",62997,38705,5,0,2,5,1,62097,57.1,70.6,25.8,32.0,40888,27,200.1,2.48,276,3,54906,5606.23,0.0,0.00,18,
17,"Powiat strzeliński",43221,26040,11,0,1,2,1,41553,82.0,118.1,12.7,18.3,12762,21,32.2,0.46,438,1,21462,5161.72,0.0,0.00,18,
18,"Powiat średzki",55508,34215,3,2,0,1,0,55116,72.5,91.9,29.0,36.8,16347,22,367.8,4.67,372,1,28404,5260.90,0.0,0.00,15,
19,"Powiat świdnicki",156015,92352,12,7,6,16,6,150838,105.2,50.0,27.7,13.2,101896,25,658.4,3.13,628,8,118316,5053.92,0.0,0.00,50,
20,"Powiat trzebnicki",85226,51642,5,4,4,2,0,82127,128.5,154.5,76.9,92.5,36805,22,541.6,6.51,406,3,42358,4611.02,0.0,0.00,30,
21,"Powiat wałbrzyski",55107,33069,6,3,4,2,0,50273,94.8,74.0,18.1,14.2,34699,13,158.1,1.23,252,1,33311,4385.23,0.0,0.00,18,
22,"Powiat wołowski",46623,28137,2,2,2,4,1,45218,52.4,75.9,26.3,38.1,24050,25,589.7,8.54,161,4,32889,5907.36,0.0,0.00,19,
23,"Powiat wrocławski",156322,95224,9,8,9,8,3,152436,95.1,68.0,14.4,10.3,95827,21,424.1,3.03,914,2,102397,5868.29,0.0,0.00,52,
24,"Powiat ząbkowicki",64080,38651,10,2,0,2,0,58181,61.5,77.0,7.1,8.9,24992,24,11.2,0.14,361,3,34538,4556.76,0.0,0.00,20,
25,"Powiat zgorzelecki",88386,53443,13,3,2,8,1,83948,64.0,60.7,5.8,5.5,33797,27,652.3,6.19,262,5,62531,4881.55,0.0,0.00,29,
26,"Powiat złotoryjski",43038,26112,4,2,0,0,0,38249,76.0,101.7,17.6,23.6,16822,20,81.6,1.09,235,2,29457,5118.53,0.0,0.00,19,
27,"Powiat m.Jelenia Góra",78335,43799,4,3,2,9,2,76336,187.2,26.1,8.1,1.1,72675,23,5228.0,7.29,242,4,70395,5183.33,72.9,945.00,15,
28,"Powiat m.Legnica",98436,57335,4,3,1,3,2,96811,359.0,20.5,91.0,5.2,92099,25,7052.8,4.03,228,9,92233,4952.32,88.2,615.14,20,
29,"Powiat m.Wrocław",641928,372138,17,19,27,56,11,619234,311.8,14.2,29.5,1.3,467799,22,12307.9,5.61,1640,41,594770,6140.64,92.2,659.20,137,
30,"Powiat m.Wałbrzych od 2013",109971,63204,7,5,0,1,1,107140,194.5,15.0,5.5,0.4,104251,24,3978.7,3.06,299,6,90521,5565.38,81.0,503.85,24,
31,"Powiat aleksandrowski",54891,32836,8,1,3,10,4,51706,136.2,117.8,45.6,39.4,9458,20,577.3,4.99,215,3,30560,4138.84,0.0,0.00,25,
32,"Powiat brodnicki",79023,48067,6,2,2,4,0,74903,82.0,107.9,84.2,110.8,3597,24,201.9,2.66,624,4,49857,4291.16,0.0,0.00,35,
33,"Powiat bydgoski",120432,74992,4,5,0,4,2,110766,74.2,85.9,38.1,44.1,37342,21,1197.9,13.87,594,2,69256,4752.76,0.0,0.00,36,
34,"Powiat chełmiński",51657,31592,4,2,0,1,0,50651,114.0,116.2,44.8,45.7,16590,23,556.0,5.67,247,3,32077,4492.13,0.0,0.00,24,
35,"Powiat golubsko-dobrzyński",44855,27502,3,2,1,1,1,43455,86.7,118.5,33.6,46.0,2975,21,545.0,7.45,267,1,27661,4974.93,0.0,0.00,24,
36,"Powiat grudziądzki",40305,24914,1,2,1,1,1,37693,98.5,177.9,75.1,135.6,7141,20,355.9,6.43,493,1,16647,4677.24,0.0,0.00,25,
37,"Powiat inowrocławski",158496,96028,10,3,6,15,3,156596,84.1,65.0,25.9,20.0,75789,26,639.1,4.94,1119,7,113025,4597.12,0.0,0.00,57,
38,"Powiat lipnowski",65450,40515,5,2,5,1,1,62585,76.6,118.9,75.0,116.4,294,23,51.2,0.79,437,2,23737,4106.90,0.0,0.00,29,
39,"Powiat mogileński",45482,27593,5,3,0,0,1,45263,96.9,143.9,23.8,35.4,15578,25,170.3,2.53,282,3,26463,4263.04,0.0,0.00,23,
40,"Powiat nakielski",86119,52456,5,1,2,3,1,81003,65.2,84.8,49.6,64.6,25209,25,244.6,3.18,470,4,45711,4423.48,0.0,0.00,35,
41,"Powiat radziejowski",40025,24438,4,0,2,0,1,38895,140.2,212.7,42.2,64.0,3434,21,337.6,5.12,230,2,15938,4320.09,0.0,0.00,16,
42,"Powiat rypiński",43390,26084,1,2,0,6,0,41692,71.4,96.5,66.7,90.1,700,25,165.4,2.24,301,1,22084,4219.07,0.0,0.00,25,
43,"Powiat sępoleński",40826,24695,3,1,0,1,0,34575,55.2,107.0,30.4,58.8,9750,25,343.8,6.66,235,2,24330,4308.57,0.0,0.00,21,
44,"Powiat świecki",98703,59903,13,2,2,6,1,91513,66.9,99.8,41.1,61.4,25223,23,435.5,6.50,647,6,65679,4858.33,0.0,0.00,44,
45,"Powiat toruński",109565,68142,3,1,1,0,1,102919,87.0,97.7,41.3,46.4,21820,22,1172.0,13.16,656,2,65957,4394.70,0.0,0.00,43,
46,"Powiat tucholski",48322,29035,3,4,0,5,0,45616,59.8,133.1,35.4,78.8,13053,30,517.0,11.51,297,1,35189,4208.91,0.0,0.00,23,
47,"Powiat wąbrzeski",34040,20692,2,0,0,0,1,32567,90.4,133.4,91.4,134.7,7387,23,629.5,9.28,345,2,18979,4709.17,0.0,0.00,12,
48,"Powiat włocławski",85646,52978,8,5,2,6,0,81521,112.2,193.0,38.6,66.3,9295,23,331.8,5.71,759,5,36039,4383.49,0.0,0.00,36,
