"Kod";"Nazwa";"ludność korzystająca z  sieci kanalizacyjnej;2020;[osoba]";
0000000;"POLSKA";27369635;
0200000;"DOLNOŚLĄSKIE";2229551;
0201000;"Powiat bolesławiecki";74908;
0201011;"Bolesławiec (1)";37284;
0201022;"Bolesławiec (2)";10770;
0201032;"Gromadka (2)";3319;
0201043;"Nowogrodziec (3)";8455;
0201044;"Nowogrodziec - miasto (4)";3398;
0201045;"Nowogrodziec - obszar wiejski (5)";5057;
0201052;"Osiecznica (2)";6504;
0201062;"Warta Bolesławiecka (2)";8576;
0202000;"Powiat dzierżoniowski";72342;
0202011;"Bielawa (1)";25958;
0202021;"Dzierżoniów (1)";28354;
0202033;"Pieszyce (3)";3428;
0202034;"Pieszyce - miasto (4)";3428;
0202041;"Piława Górna (1)";3799;
0202052;"Dzierżoniów (2)";3337;
0202062;"Łagiewniki (2)";3557;
0202073;"Niemcza (3)";3909;
0202074;"Niemcza - miasto (4)";2470;
0202075;"Niemcza - obszar wiejski (5)";1439;
0203000;"Powiat głogowski";78723;
0203011;"Głogów (1)";64999;
0203022;"Głogów (2)";4312;
0203032;"Jerzmanowa (2)";4777;
0203042;"Kotla (2)";2247;
0203052;"Pęcław (2)";1044;
0203062;"Żukowice (2)";1344;
0204000;"Powiat górowski";15251;
0204013;"Góra (3)";12834;
0204014;"Góra - miasto (4)";11118;
0204015;"Góra - obszar wiejski (5)";1716;
0204032;"Niechlów (2)";602;
0204043;"Wąsosz (3)";1815;
0204044;"Wąsosz - miasto (4)";1815;
0205000;"Powiat jaworski";39901;
0205011;"Jawor (1)";22340;
0205023;"Bolków (3)";5045;
0205024;"Bolków - miasto (4)";3809;
0205025;"Bolków - obszar wiejski (5)";1236;
0205032;"Męcinka (2)";3503;
0205042;"Mściwojów (2)";2820;
0205052;"Paszowice (2)";3880;
0205062;"Wądroże Wielkie (2)";2313;
0206000;"Powiat karkonoski";40991;
0206011;"Karpacz (1)";4189;
0206021;"Kowary (1)";8484;
0206031;"Piechowice (1)";3732;
0206041;"Szklarska Poręba (1)";4586;
0206052;"Janowice Wielkie (2)";2087;
0206062;"Jeżów Sudecki (2)";2507;
0206072;"Mysłakowice (2)";6167;
0206082;"Podgórzyn (2)";6989;
0206092;"Stara Kamienica (2)";2250;
0207000;"Powiat kamiennogórski";34641;
0207011;"Kamienna Góra (1)";18580;
0207022;"Kamienna Góra (2)";3585;
0207033;"Lubawka (3)";9945;
