"Kod";"Nazwa";"licea ogólnokształcące dla młodzieży bez specjalnych;ogółem;ogółem;2020;[ob.]";
0000000;"POLSKA";2209;
0200000;"DOLNOŚLĄSKIE";148;
0201000;"Powiat bolesławiecki";5;
0201011;"Bolesławiec (1)";5;
0202000;"Powiat dzierżoniowski";4;
0202011;"Bielawa (1)";2;
0202021;"Dzierżoniów (1)";2;
0203000;"Powiat głogowski";6;
0203011;"Głogów (1)";6;
0204000;"Powiat górowski";2;
0204013;"Góra (3)";1;
0204014;"Góra - miasto (4)";1;
0204043;"Wąsosz (3)";1;
0204044;"Wąsosz - miasto (4)";1;
0205000;"Powiat jaworski";1;
0205011;"Jawor (1)";1;
0206000;"Powiat karkonoski";5;
0206011;"Karpacz (1)";1;
0206021;"Kowary (1)";1;
0206031;"Piechowice (1)";1;
0206041;"Szklarska Poręba (1)";1;
0206092;"Stara Kamienica (2)";1;
0207000;"Powiat kamiennogórski";1;
0207011;"Kamienna Góra (1)";1;
0208000;"Powiat kłodzki";9;
0208011;"Duszniki-Zdrój (1)";1;
0208021;"Kłodzko (1)";4;
0208031;"Kudowa-Zdrój (1)";1;
0208041;"Nowa Ruda (1)";1;
0208063;"Bystrzyca Kłodzka (3)";1;
0208064;"Bystrzyca Kłodzka - miasto (4)";1;
0208083;"Lądek-Zdrój (3)";1;
0208084;"Lądek-Zdrój - miasto (4)";1;
0209000;"Powiat legnicki";1;
0209011;"Chojnów (1)";1;
0210000;"Powiat lubański";2;
0210011;"Lubań (1)";2;
0211000;"Powiat lubiński";5;
0211011;"Lubin (1)";5;
0212000;"Powiat lwówecki";5;
0212013;"Gryfów Śląski (3)";1;
0212014;"Gryfów Śląski - miasto (4)";1;
0212023;"Lubomierz (3)";1;
0212024;"Lubomierz - miasto (4)";1;
0212033;"Lwówek Śląski (3)";2;
0212034;"Lwówek Śląski - miasto (4)";1;
0212035;"Lwówek Śląski - obszar wiejski (5)";1;
0212043;"Mirsk (3)";1;
0212044;"Mirsk - miasto (4)";1;
0213000;"Powiat milicki";2;
0213033;"Milicz (3)";2;
0213034;"Milicz - miasto (4)";2;
0214000;"Powiat oleśnicki";4;
0214011;"Oleśnica (1)";2;
0214023;"Bierutów (3)";1;
0214024;"Bierutów - miasto (4)";1;
0214073;"Syców (3)";1;
0214074;"Syców - miasto (4)";1;
0215000;"Powiat oławski";3;
0215011;"Oława (1)";2;
0215033;"Jelcz-Laskowice (3)";1;
0215034;"Jelcz-Laskowice - miasto (4)";1;
0216000;"Powiat polkowicki";3;
0216043;"Polkowice (3)";2;
0216044;"Polkowice - miasto (4)";2;
0216053;"Przemków (3)";1;
0216054;"Przemków - miasto (4)";1;
0217000;"Powiat strzeliński";1;
0217043;"Strzelin (3)";1;
0217044;"Strzelin - miasto (4)";1;
0218000;"Powiat średzki";1;
0218043;"Środa Śląska (3)";1;
0218044;"Środa Śląska - miasto (4)";1;
0219000;"Powiat świdnicki";8;
0219011;"Świdnica (1)";6;
0219021;"Świebodzice (1)";1;
0219063;"Strzegom (3)";1;
0219064;"Strzegom - miasto (4)";1;
0220000;"Powiat trzebnicki";3;
0220013;"Oborniki Śląskie (3)";1;
0220014;"Oborniki Śląskie - miasto (4)";1;
0220033;"Trzebnica (3)";1;
0220034;"Trzebnica - miasto (4)";1;
0220063;"Żmigród (3)";1;
0220064;"Żmigród - miasto (4)";1;
0221000;"Powiat wałbrzyski";1;
0221031;"Szczawno-Zdrój (1)";1;
0222000;"Powiat wołowski";4;
0222013;"Brzeg Dolny (3)";2;
0222014;"Brzeg Dolny - miasto (4)";2;
0222033;"Wołów (3)";2;
0222034;"Wołów - miasto (4)";2;
0223000;"Powiat wrocławski";2;
0223022;"Długołęka (2)";1;
0223073;"Sobótka (3)";1;
0223074;"Sobótka - miasto (4)";1;
0224000;"Powiat ząbkowicki";3;
0224053;"Ząbkowice Śląskie (3)";1;
0224054;"Ząbkowice Śląskie - miasto (4)";1;
0224063;"Ziębice (3)";2;
0224064;"Ziębice - miasto (4)";1;
0224065;"Ziębice - obszar wiejski (5)";1;
0225000;"Powiat zgorzelecki";5;
0225021;"Zgorzelec (1)";4;
0225033;"Bogatynia (3)";1;
0225034;"Bogatynia - miasto (4)";1;
0226000;"Powiat złotoryjski";2;
0226021;"Złotoryja (1)";2;
0261000;"Powiat m.Jelenia Góra";4;
0261011;"Jelenia Góra (1)";4;
0262000;"Powiat m.Legnica";9;
0262011;"Legnica (1)";9;
0264000;"Powiat m.Wrocław";41;
0264011;"Wrocław (1)";41;
0265000;"Powiat m.Wałbrzych od 2013";6;
0265011;"Wałbrzych od 2013 (1)";6;
0400000;"KUJAWSKO-POMORSKIE";112;
0401000;"Powiat aleksandrowski";3;
0401011;"Aleksandrów Kujawski (1)";2;
0401021;"Ciechocinek (1)";1;
0402000;"Powiat brodnicki";4;
0402011;"Brodnica (1)";2;
0402053;"Górzno (3)";1;
0402054;"Górzno - miasto (4)";1;
0402073;"Jabłonowo Pomorskie (3)";1;
0402074;"Jabłonowo Pomorskie - miasto (4)";1;
0403000;"Powiat bydgoski";2;
0403043;"Koronowo (3)";1;
0403044;"Koronowo - miasto (4)";1;
0403083;"Solec Kujawski (3)";1;
0403084;"Solec Kujawski - miasto (4)";1;
0404000;"Powiat chełmiński";3;
0404011;"Chełmno (1)";2;
0404072;"Unisław (2)";1;
0405000;"Powiat golubsko-dobrzyński";1;
0405011;"Golub-Dobrzyń (1)";1;
0406000;"Powiat grudziądzki";1;
0406033;"Łasin (3)";1;
0406034;"Łasin - miasto (4)";1;
0407000;"Powiat inowrocławski";7;
0407011;"Inowrocław (1)";5;
0407063;"Kruszwica (3)";1;
0407064;"Kruszwica - miasto (4)";1;
0407073;"Pakość (3)";1;
0407075;"Pakość - obszar wiejski (5)";1;
0408000;"Powiat lipnowski";2;
0408011;"Lipno (1)";1;
0408073;"Skępe (3)";1;
0408074;"Skępe - miasto (4)";1;
0409000;"Powiat mogileński";3;
0409033;"Mogilno (3)";2;
0409034;"Mogilno - miasto (4)";1;
0409035;"Mogilno - obszar wiejski (5)";1;
0409043;"Strzelno (3)";1;
0409044;"Strzelno - miasto (4)";1;
0410000;"Powiat nakielski";4;
0410013;"Kcynia (3)";1;
0410014;"Kcynia - miasto (4)";1;
0410033;"Nakło nad Notecią (3)";2;
0410034;"Nakło nad Notecią - miasto (4)";2;
0410053;"Szubin (3)";1;
0410054;"Szubin - miasto (4)";1;
0411000;"Powiat radziejowski";2;
0411011;"Radziejów (1)";1;
0411062;"Radziejów (2)";1;
0412000;"Powiat rypiński";1;
0412011;"Rypin (1)";1;
0413000;"Powiat sępoleński";2;
0413023;"Sępólno Krajeńskie (3)";1;
0413024;"Sępólno Krajeńskie - miasto (4)";1;
0413043;"Więcbork (3)";1;
0413044;"Więcbork - miasto (4)";1;
0414000;"Powiat świecki";6;
0414063;"Nowe (3)";1;
0414064;"Nowe - miasto (4)";1;
0414093;"Świecie (3)";5;
0414094;"Świecie - miasto (4)";5;
0415000;"Powiat toruński";2;
0415011;"Chełmża (1)";1;
0415072;"Obrowo (2)";1;
