"Kod";"Nazwa";"stadiony;ogółem;2018;[ob.]";"hale sportowe o wymiarach od 36x19 m;ogółem;2018;[ob.]";"sale gimnastyczne o wymiarach poniżej 36x19 m i sale pomocnicze;ogółem;2018;[ob.]";"korty tenisowe;ogółem;2018;[ob.]";"pływalnie kryte;ogółem;2018;[ob.]";
0000000;"POLSKA";2368;1067;1189;2262;579;
0200000;"DOLNOŚLĄSKIE";211;97;95;207;55;
0201000;"Powiat bolesławiecki";23;1;0;3;2;
0201011;"Bolesławiec (1)";3;1;0;2;2;
0201032;"Gromadka (2)";2;0;0;0;0;
0201043;"Nowogrodziec (3)";12;0;0;0;0;
0201044;"Nowogrodziec - miasto (4)";2;0;0;0;0;
0201045;"Nowogrodziec - obszar wiejski (5)";10;0;0;0;0;
0201052;"Osiecznica (2)";5;0;0;1;0;
0201062;"Warta Bolesławiecka (2)";1;0;0;0;0;
0202000;"Powiat dzierżoniowski";6;4;3;16;1;
0202011;"Bielawa (1)";1;1;1;1;0;
0202021;"Dzierżoniów (1)";1;1;1;9;1;
0202033;"Pieszyce (3)";1;0;0;0;0;
0202034;"Pieszyce - miasto (4)";1;0;0;0;0;
0202041;"Piława Górna (1)";2;1;0;2;0;
0202052;"Dzierżoniów (2)";0;0;1;1;0;
0202062;"Łagiewniki (2)";1;1;0;2;0;
0202073;"Niemcza (3)";0;0;0;1;0;
0202074;"Niemcza - miasto (4)";0;0;0;1;0;
0203000;"Powiat głogowski";3;2;0;5;2;
0203011;"Głogów (1)";2;2;0;5;2;
0203022;"Głogów (2)";1;0;0;0;0;
0204000;"Powiat górowski";3;2;1;2;1;
0204013;"Góra (3)";1;2;0;2;1;
0204014;"Góra - miasto (4)";1;2;0;2;1;
0204032;"Niechlów (2)";1;0;0;0;0;
0204043;"Wąsosz (3)";1;0;1;0;0;
0204044;"Wąsosz - miasto (4)";1;0;1;0;0;
0205000;"Powiat jaworski";2;0;0;1;1;
0205011;"Jawor (1)";2;0;0;1;1;
0206000;"Powiat karkonoski";6;2;2;2;0;
0206011;"Karpacz (1)";0;1;0;0;0;
0206021;"Kowary (1)";1;0;0;1;0;
0206031;"Piechowice (1)";1;0;0;0;0;
0206041;"Szklarska Poręba (1)";1;0;1;0;0;
0206052;"Janowice Wielkie (2)";1;0;0;0;0;
0206062;"Jeżów Sudecki (2)";0;1;0;0;0;
0206072;"Mysłakowice (2)";1;0;0;1;0;
0206092;"Stara Kamienica (2)";1;0;1;0;0;
0207000;"Powiat kamiennogórski";4;0;0;7;1;
0207011;"Kamienna Góra (1)";1;0;0;1;1;
0207033;"Lubawka (3)";3;0;0;6;0;
0207034;"Lubawka - miasto (4)";2;0;0;6;0;
