"Kod";"Nazwa";"wskaźnik świadczenia usług odbioru odpadów komunalnych z nieruchomości zamieszkanych;2020;[%]";"wskaźnik efektywności kosztowej ogółem usług odebranych odpadów komunalnych;2020;[zł/t]";
0000000;"POLSKA";82,1;774,44;
0200000;"DOLNOŚLĄSKIE";85,5;695,00;
0201000;"Powiat bolesławiecki";0,0;0,00;
0201011;"Bolesławiec (1)";84,9;806,26;
0201022;"Bolesławiec (2)";86,1;820,00;
0201032;"Gromadka (2)";70,5;695,75;
0201043;"Nowogrodziec (3)";90,4;658,34;
0201044;"Nowogrodziec - miasto (4)";0,0;0,00;
0201045;"Nowogrodziec - obszar wiejski (5)";0,0;0,00;
0201052;"Osiecznica (2)";83,5;929,17;
0201062;"Warta Bolesławiecka (2)";87,8;969,63;
0202000;"Powiat dzierżoniowski";0,0;0,00;
0202011;"Bielawa (1)";88,2;808,09;
0202021;"Dzierżoniów (1)";78,8;517,12;
0202033;"Pieszyce (3)";95,6;561,49;
0202034;"Pieszyce - miasto (4)";0,0;0,00;
0202035;"Pieszyce - obszar wiejski (5)";0,0;0,00;
0202041;"Piława Górna (1)";88,5;420,82;
0202052;"Dzierżoniów (2)";80,3;605,11;
0202062;"Łagiewniki (2)";90,3;975,80;
0202073;"Niemcza (3)";93,9;556,31;
0202074;"Niemcza - miasto (4)";0,0;0,00;
0202075;"Niemcza - obszar wiejski (5)";0,0;0,00;
0203000;"Powiat głogowski";0,0;0,00;
0203011;"Głogów (1)";78,6;407,52;
0203022;"Głogów (2)";80,9;525,86;
0203032;"Jerzmanowa (2)";83,3;627,80;
0203042;"Kotla (2)";81,0;658,09;
0203052;"Pęcław (2)";87,0;879,30;
0203062;"Żukowice (2)";90,6;713,03;
0204000;"Powiat górowski";0,0;0,00;
0204013;"Góra (3)";63,2;783,12;
0204014;"Góra - miasto (4)";0,0;0,00;
0204015;"Góra - obszar wiejski (5)";0,0;0,00;
0204022;"Jemielno (2)";100,0;1053,25;
0204032;"Niechlów (2)";80,0;969,17;
0204043;"Wąsosz (3)";100,0;1097,90;
0204044;"Wąsosz - miasto (4)";0,0;0,00;
0204045;"Wąsosz - obszar wiejski (5)";0,0;0,00;
0205000;"Powiat jaworski";0,0;0,00;
0205011;"Jawor (1)";80,9;852,86;
0205023;"Bolków (3)";93,0;781,32;
0205024;"Bolków - miasto (4)";0,0;0,00;
0205025;"Bolków - obszar wiejski (5)";0,0;0,00;
0205032;"Męcinka (2)";84,0;631,48;
0205042;"Mściwojów (2)";100,0;590,76;
0205052;"Paszowice (2)";95,0;817,44;
0205062;"Wądroże Wielkie (2)";97,0;804,35;
0206000;"Powiat karkonoski";0,0;0,00;
0206011;"Karpacz (1)";32,3;647,10;
0206021;"Kowary (1)";99,2;1512,89;
0206031;"Piechowice (1)";90,1;861,38;
0206041;"Szklarska Poręba (1)";76,3;830,58;
0206052;"Janowice Wielkie (2)";90,1;1120,61;
0206062;"Jeżów Sudecki (2)";100,0;891,11;
0206072;"Mysłakowice (2)";99,8;884,71;
0206082;"Podgórzyn (2)";97,8;811,92;
0206092;"Stara Kamienica (2)";90,2;816,17;
0207000;"Powiat kamiennogórski";0,0;0,00;
0207011;"Kamienna Góra (1)";86,7;666,88;
0207022;"Kamienna Góra (2)";99,2;688,75;
0207033;"Lubawka (3)";86,9;572,83;
0207034;"Lubawka - miasto (4)";0,0;0,00;
0207035;"Lubawka - obszar wiejski (5)";0,0;0,00;
0207042;"Marciszów (2)";96,3;690,97;
0208000;"Powiat kłodzki";0,0;0,00;
0208011;"Duszniki-Zdrój (1)";57,8;785,69;
0208021;"Kłodzko (1)";87,7;788,08;
0208031;"Kudowa-Zdrój (1)";79,4;711,15;
0208041;"Nowa Ruda (1)";97,9;889,38;
0208051;"Polanica-Zdrój (1)";60,3;530,27;
0208063;"Bystrzyca Kłodzka (3)";79,7;757,09;
0208064;"Bystrzyca Kłodzka - miasto (4)";0,0;0,00;
0208065;"Bystrzyca Kłodzka - obszar wiejski (5)";0,0;0,00;
0208072;"Kłodzko (2)";96,4;666,27;
0208083;"Lądek-Zdrój (3)";100,0;794,56;
0208084;"Lądek-Zdrój - miasto (4)";0,0;0,00;
0208085;"Lądek-Zdrój - obszar wiejski (5)";0,0;0,00;
0208092;"Lewin Kłodzki (2)";87,4;1169,90;
0208103;"Międzylesie (3)";78,4;1131,41;
0208104;"Międzylesie - miasto (4)";0,0;0,00;
0208105;"Międzylesie - obszar wiejski (5)";0,0;0,00;
0208112;"Nowa Ruda (2)";99,3;887,67;
0208123;"Radków (3)";86,2;827,44;
0208124;"Radków - miasto (4)";0,0;0,00;
0208125;"Radków - obszar wiejski (5)";0,0;0,00;
0208133;"Stronie Śląskie (3)";95,0;831,52;
0208134;"Stronie Śląskie - miasto (4)";0,0;0,00;
0208135;"Stronie Śląskie - obszar wiejski (5)";0,0;0,00;
0208143;"Szczytna (3)";75,2;764,02;
0208144;"Szczytna - miasto (4)";0,0;0,00;
0208145;"Szczytna - obszar wiejski (5)";0,0;0,00;
0209000;"Powiat legnicki";0,0;0,00;
0209011;"Chojnów (1)";100,0;953,33;
0209022;"Chojnów (2)";64,5;1068,95;
0209032;"Krotoszyce (2)";91,9;902,12;
0209042;"Kunice (2)";64,2;894,26;
0209052;"Legnickie Pole (2)";50,2;724,40;
0209062;"Miłkowice (2)";87,9;496,40;
0209073;"Prochowice (3)";99,9;1299,98;
0209074;"Prochowice - miasto (4)";0,0;0,00;
0209075;"Prochowice - obszar wiejski (5)";0,0;0,00;
0209082;"Ruja (2)";80,0;891,81;
0210000;"Powiat lubański";0,0;0,00;
0210011;"Lubań (1)";95,0;599,67;
0210021;"Świeradów-Zdrój (1)";79,4;689,01;
0210033;"Leśna (3)";99,0;885,46;
0210034;"Leśna - miasto (4)";0,0;0,00;
0210035;"Leśna - obszar wiejski (5)";0,0;0,00;
0210042;"Lubań (2)";95,0;754,20;
0210053;"Olszyna (3)";84,3;630,69;
0210054;"Olszyna - miasto (4)";0,0;0,00;
0210055;"Olszyna - obszar wiejski (5)";0,0;0,00;
0210062;"Platerówka (2)";99,7;687,04;
0210072;"Siekierczyn (2)";84,3;638,26;
0211000;"Powiat lubiński";0,0;0,00;
0211011;"Lubin (1)";89,2;678,14;
0211022;"Lubin (2)";83,2;671,53;
0211032;"Rudna (2)";95,1;826,35;
0211043;"Ścinawa (3)";91,0;995,26;
0211044;"Ścinawa - miasto (4)";0,0;0,00;
0211045;"Ścinawa - obszar wiejski (5)";0,0;0,00;
0212000;"Powiat lwówecki";0,0;0,00;
0212013;"Gryfów Śląski (3)";100,0;886,60;
0212014;"Gryfów Śląski - miasto (4)";0,0;0,00;
0212015;"Gryfów Śląski - obszar wiejski (5)";0,0;0,00;
0212023;"Lubomierz (3)";83,1;722,50;
0212024;"Lubomierz - miasto (4)";0,0;0,00;
0212025;"Lubomierz - obszar wiejski (5)";0,0;0,00;
0212033;"Lwówek Śląski (3)";75,0;541,87;
0212034;"Lwówek Śląski - miasto (4)";0,0;0,00;
0212035;"Lwówek Śląski - obszar wiejski (5)";0,0;0,00;
0212043;"Mirsk (3)";89,3;860,19;
0212044;"Mirsk - miasto (4)";0,0;0,00;
0212045;"Mirsk - obszar wiejski (5)";0,0;0,00;
