"Kod";"Nazwa";"ogółem;ogółem;2020;[osoba]";"w wieku produkcyjnym;ogółem;2020;[osoba]";
0000000;"POLSKA";38265013;22771440;
0200000;"DOLNOŚLĄSKIE";2891321;1710993;
0201000;"Powiat bolesławiecki";89762;53992;
0201011;"Bolesławiec (1)";38486;21714;
0201022;"Bolesławiec (2)";14863;9483;
0201032;"Gromadka (2)";5317;3303;
0201043;"Nowogrodziec (3)";15229;9550;
0201044;"Nowogrodziec - miasto (4)";4263;2625;
0201045;"Nowogrodziec - obszar wiejski (5)";10966;6925;
0201052;"Osiecznica (2)";7288;4608;
0201062;"Warta Bolesławiecka (2)";8579;5334;
0202000;"Powiat dzierżoniowski";99935;58574;
0202011;"Bielawa (1)";29523;17180;
0202021;"Dzierżoniów (1)";32869;18593;
0202033;"Pieszyce (3)";9318;5639;
0202034;"Pieszyce - miasto (4)";7012;4236;
0202035;"Pieszyce - obszar wiejski (5)";2306;1403;
0202041;"Piława Górna (1)";6364;3876;
0202052;"Dzierżoniów (2)";9013;5496;
0202062;"Łagiewniki (2)";7437;4526;
0202073;"Niemcza (3)";5411;3264;
0202074;"Niemcza - miasto (4)";2932;1719;
0202075;"Niemcza - obszar wiejski (5)";2479;1545;
0203000;"Powiat głogowski";88447;51709;
0203011;"Głogów (1)";66120;37689;
0203022;"Głogów (2)";6845;4316;
0203032;"Jerzmanowa (2)";5347;3397;
0203042;"Kotla (2)";4456;2766;
0203052;"Pęcław (2)";2210;1367;
0203062;"Żukowice (2)";3469;2174;
0204000;"Powiat górowski";34552;20946;
0204013;"Góra (3)";19720;11913;
0204014;"Góra - miasto (4)";11574;6941;
0204015;"Góra - obszar wiejski (5)";8146;4972;
0204022;"Jemielno (2)";2967;1795;
0204032;"Niechlów (2)";4801;2990;
0204043;"Wąsosz (3)";7064;4248;
0204044;"Wąsosz - miasto (4)";2647;1561;
0204045;"Wąsosz - obszar wiejski (5)";4417;2687;
0205000;"Powiat jaworski";49734;29740;
0205011;"Jawor (1)";22462;13282;
0205023;"Bolków (3)";10311;6081;
0205024;"Bolków - miasto (4)";4913;2875;
0205025;"Bolków - obszar wiejski (5)";5398;3206;
0205032;"Męcinka (2)";5007;3025;
0205042;"Mściwojów (2)";4029;2433;
0205052;"Paszowice (2)";4037;2528;
0205062;"Wądroże Wielkie (2)";3888;2391;
0206000;"Powiat karkonoski";63333;38097;
0206011;"Karpacz (1)";4487;2682;
0206021;"Kowary (1)";10650;6215;
0206031;"Piechowice (1)";6082;3582;
0206041;"Szklarska Poręba (1)";6653;3926;
0206052;"Janowice Wielkie (2)";4274;2597;
0206062;"Jeżów Sudecki (2)";7548;4669;
0206072;"Mysłakowice (2)";10104;6222;
0206082;"Podgórzyn (2)";8285;4922;
0206092;"Stara Kamienica (2)";5250;3282;
0207000;"Powiat kamiennogórski";42824;25703;
0207011;"Kamienna Góra (1)";18585;10811;
0207022;"Kamienna Góra (2)";8997;5646;
0207033;"Lubawka (3)";10759;6514;
0207034;"Lubawka - miasto (4)";5940;3524;
0207035;"Lubawka - obszar wiejski (5)";4819;2990;
0207042;"Marciszów (2)";4483;2732;
0208000;"Powiat kłodzki";156283;92001;
0208011;"Duszniki-Zdrój (1)";4422;2491;
0208021;"Kłodzko (1)";26421;15195;
0208031;"Kudowa-Zdrój (1)";9772;5662;
0208041;"Nowa Ruda (1)";21643;12521;
0208051;"Polanica-Zdrój (1)";6228;3448;
0208063;"Bystrzyca Kłodzka (3)";18607;10786;
0208064;"Bystrzyca Kłodzka - miasto (4)";9878;5546;
0208065;"Bystrzyca Kłodzka - obszar wiejski (5)";8729;5240;
0208072;"Kłodzko (2)";16986;10357;
0208083;"Lądek-Zdrój (3)";8120;4796;
0208084;"Lądek-Zdrój - miasto (4)";5466;3160;
0208085;"Lądek-Zdrój - obszar wiejski (5)";2654;1636;
0208092;"Lewin Kłodzki (2)";1921;1172;
0208103;"Międzylesie (3)";7119;4287;
0208104;"Międzylesie - miasto (4)";2514;1476;
0208105;"Międzylesie - obszar wiejski (5)";4605;2811;
0208112;"Nowa Ruda (2)";11440;7014;
0208123;"Radków (3)";8968;5455;
0208124;"Radków - miasto (4)";2401;1448;
0208125;"Radków - obszar wiejski (5)";6567;4007;
0208133;"Stronie Śląskie (3)";7451;4485;
0208134;"Stronie Śląskie - miasto (4)";5616;3321;
0208135;"Stronie Śląskie - obszar wiejski (5)";1835;1164;
0208143;"Szczytna (3)";7185;4332;
0208144;"Szczytna - miasto (4)";5044;2982;
0208145;"Szczytna - obszar wiejski (5)";2141;1350;
0209000;"Powiat legnicki";55110;33357;
0209011;"Chojnów (1)";13236;7841;
0209022;"Chojnów (2)";9517;5842;
0209032;"Krotoszyce (2)";3301;2034;
0209042;"Kunice (2)";7161;4446;
