"Kod";"Nazwa";"przystanki autobusowe (z trolejbusowymi) i tramwajowe;ogółem;2020;[szt.]";
0000000;"POLSKA";175136;
0200000;"DOLNOŚLĄSKIE";11460;
0201000;"Powiat bolesławiecki";422;
0201011;"Bolesławiec (1)";161;
0201022;"Bolesławiec (2)";98;
0201032;"Gromadka (2)";23;
0201043;"Nowogrodziec (3)";79;
0201052;"Osiecznica (2)";33;
0201062;"Warta Bolesławiecka (2)";28;
0202000;"Powiat dzierżoniowski";368;
0202011;"Bielawa (1)";67;
0202021;"Dzierżoniów (1)";79;
0202033;"Pieszyce (3)";46;
0202041;"Piława Górna (1)";20;
0202052;"Dzierżoniów (2)";73;
0202062;"Łagiewniki (2)";45;
0202073;"Niemcza (3)";38;
0203000;"Powiat głogowski";356;
0203011;"Głogów (1)";118;
0203022;"Głogów (2)";31;
0203032;"Jerzmanowa (2)";52;
0203042;"Kotla (2)";78;
0203052;"Pęcław (2)";36;
0203062;"Żukowice (2)";41;
0204000;"Powiat górowski";226;
0204013;"Góra (3)";130;
0204022;"Jemielno (2)";21;
0204032;"Niechlów (2)";28;
0204043;"Wąsosz (3)";47;
0205000;"Powiat jaworski";224;
0205011;"Jawor (1)";37;
0205023;"Bolków (3)";91;
0205032;"Męcinka (2)";32;
0205042;"Mściwojów (2)";15;
0205052;"Paszowice (2)";27;
0205062;"Wądroże Wielkie (2)";22;
0206000;"Powiat karkonoski";368;
0206011;"Karpacz (1)";17;
0206021;"Kowary (1)";10;
0206031;"Piechowice (1)";53;
0206041;"Szklarska Poręba (1)";23;
0206052;"Janowice Wielkie (2)";18;
0206062;"Jeżów Sudecki (2)";49;
0206072;"Mysłakowice (2)";66;
0206082;"Podgórzyn (2)";86;
0206092;"Stara Kamienica (2)";46;
0207000;"Powiat kamiennogórski";148;
0207011;"Kamienna Góra (1)";29;
0207022;"Kamienna Góra (2)";43;
0207033;"Lubawka (3)";33;
0207042;"Marciszów (2)";43;
0208000;"Powiat kłodzki";536;
0208011;"Duszniki-Zdrój (1)";7;
0208021;"Kłodzko (1)";32;
0208031;"Kudowa-Zdrój (1)";12;
0208041;"Nowa Ruda (1)";34;
0208051;"Polanica-Zdrój (1)";8;
0208063;"Bystrzyca Kłodzka (3)";62;
0208072;"Kłodzko (2)";96;
0208083;"Lądek-Zdrój (3)";21;
0208092;"Lewin Kłodzki (2)";10;
0208103;"Międzylesie (3)";50;
0208112;"Nowa Ruda (2)";82;
0208123;"Radków (3)";49;
0208133;"Stronie Śląskie (3)";23;
0208143;"Szczytna (3)";50;
0209000;"Powiat legnicki";310;
0209011;"Chojnów (1)";9;
0209022;"Chojnów (2)";49;
0209032;"Krotoszyce (2)";52;
0209042;"Kunice (2)";40;
0209052;"Legnickie Pole (2)";46;
0209062;"Miłkowice (2)";68;
0209073;"Prochowice (3)";28;
0209082;"Ruja (2)";18;
0210000;"Powiat lubański";252;
0210011;"Lubań (1)";25;
0210021;"Świeradów-Zdrój (1)";22;
0210033;"Leśna (3)";108;
0210042;"Lubań (2)";43;
0210053;"Olszyna (3)";14;
0210062;"Platerówka (2)";13;
0210072;"Siekierczyn (2)";27;
0211000;"Powiat lubiński";346;
0211011;"Lubin (1)";128;
0211022;"Lubin (2)";54;
0211032;"Rudna (2)";123;
0211043;"Ścinawa (3)";41;
0212000;"Powiat lwówecki";180;
0212013;"Gryfów Śląski (3)";19;
0212023;"Lubomierz (3)";36;
0212033;"Lwówek Śląski (3)";72;
0212043;"Mirsk (3)";35;
0212053;"Wleń (3)";18;
0213000;"Powiat milicki";176;
0213012;"Cieszków (2)";32;
0213022;"Krośnice (2)";33;
0213033;"Milicz (3)";111;
0214000;"Powiat oleśnicki";477;
0214011;"Oleśnica (1)";94;
0214023;"Bierutów (3)";75;
0214032;"Dobroszyce (2)";33;
0214042;"Dziadowa Kłoda (2)";22;
0214053;"Międzybórz (3)";33;
0214062;"Oleśnica (2)";102;
0214073;"Syców (3)";39;
0214083;"Twardogóra (3)";79;
0215000;"Powiat oławski";357;
0215011;"Oława (1)";68;
0215022;"Domaniów (2)";28;
0215033;"Jelcz-Laskowice (3)";191;
0215042;"Oława (2)";70;
0216000;"Powiat polkowicki";276;
0216013;"Chocianów (3)";110;
0216022;"Gaworzyce (2)";28;
0216032;"Grębocice (2)";18;
0216043;"Polkowice (3)";95;
0216053;"Przemków (3)";14;
0216062;"Radwanice (2)";11;
0217000;"Powiat strzeliński";438;
0217012;"Borów (2)";62;
0217022;"Kondratowice (2)";30;
0217032;"Przeworno (2)";31;
0217043;"Strzelin (3)";277;
0217053;"Wiązów (3)";38;
0218000;"Powiat średzki";372;
0218012;"Kostomłoty (2)";19;
0218022;"Malczyce (2)";20;
0218032;"Miękinia (2)";146;
0218043;"Środa Śląska (3)";155;
0218052;"Udanin (2)";32;
0219000;"Powiat świdnicki";628;
0219011;"Świdnica (1)";136;
0219021;"Świebodzice (1)";55;
0219032;"Dobromierz (2)";30;
0219043;"Jaworzyna Śląska (3)";40;
0219052;"Marcinowice (2)";40;
0219063;"Strzegom (3)";138;
0219072;"Świdnica (2)";135;
0219083;"Żarów (3)";54;
0220000;"Powiat trzebnicki";406;
0220013;"Oborniki Śląskie (3)";40;
0220023;"Prusice (3)";28;
0220033;"Trzebnica (3)";167;
0220042;"Wisznia Mała (2)";75;
0220052;"Zawonia (2)";31;
0220063;"Żmigród (3)";65;
0221000;"Powiat wałbrzyski";252;
0221011;"Boguszów-Gorce (1)";25;
0221021;"Jedlina-Zdrój (1)";40;
0221031;"Szczawno-Zdrój (1)";15;
0221042;"Czarny Bór (2)";34;
0221053;"Głuszyca (3)";36;
0221063;"Mieroszów (3)";44;
0221072;"Stare Bogaczowice (2)";25;
0221082;"Walim (2)";33;
0222000;"Powiat wołowski";161;
0222013;"Brzeg Dolny (3)";39;
0222022;"Wińsko (2)";52;
0222033;"Wołów (3)";70;
0223000;"Powiat wrocławski";914;
0223012;"Czernica (2)";104;
0223022;"Długołęka (2)";269;
0223032;"Jordanów Śląski (2)";13;
0223043;"Kąty Wrocławskie (3)";96;
0223052;"Kobierzyce (2)";159;
0223062;"Mietków (2)";46;
