"Kod";"Nazwa";"ścieżki rowerowe na 10 tys. km2;2020;[km]";"ścieżki rowerowe na 10 tys. ludności;2020;[km]";
0000000;"POLSKA";551,8;4,51;
0200000;"DOLNOŚLĄSKIE";561,1;3,87;
0201000;"Powiat bolesławiecki";437,3;6,35;
0201011;"Bolesławiec (1)";15740,3;9,64;
0201022;"Bolesławiec (2)";395,2;7,67;
0201062;"Warta Bolesławiecka (2)";769,6;9,91;
0202000;"Powiat dzierżoniowski";1222,5;5,85;
0202011;"Bielawa (1)";5136,7;6,30;
0202021;"Dzierżoniów (1)";11808,7;7,21;
0202033;"Pieszyce (3)";1069,0;7,30;
0202041;"Piława Górna (1)";382,2;1,26;
0202052;"Dzierżoniów (2)";35,4;0,55;
0202062;"Łagiewniki (2)";360,7;6,05;
0202073;"Niemcza (3)";501,0;6,65;
0203000;"Powiat głogowski";550,5;2,76;
0203011;"Głogów (1)";6835,7;3,63;
0203022;"Głogów (2)";47,2;0,58;
0204000;"Powiat górowski";63,7;1,36;
0204013;"Góra (3)";150,3;2,03;
0204022;"Jemielno (2)";56,4;2,36;
0205000;"Powiat jaworski";180,6;2,11;
0205011;"Jawor (1)";5585,1;4,67;
0206000;"Powiat karkonoski";110,0;1,09;
0206092;"Stara Kamienica (2)";624,4;13,14;
0207000;"Powiat kamiennogórski";207,2;1,91;
0207011;"Kamienna Góra (1)";4545,5;4,41;
0208000;"Powiat kłodzki";192,3;2,02;
0208021;"Kłodzko (1)";1610,3;1,51;
0208031;"Kudowa-Zdrój (1)";944,0;3,27;
0208041;"Nowa Ruda (1)";1916,3;3,28;
0208051;"Polanica-Zdrój (1)";754,9;2,09;
0208083;"Lądek-Zdrój (3)";213,2;3,08;
0208092;"Lewin Kłodzki (2)";172,6;4,69;
0208112;"Nowa Ruda (2)";222,0;2,71;
0208123;"Radków (3)";414,4;6,47;
0208133;"Stronie Śląskie (3)";253,3;4,97;
0209000;"Powiat legnicki";67,2;0,91;
0209042;"Kunice (2)";302,2;3,91;
0209052;"Legnickie Pole (2)";105,6;1,74;
0209062;"Miłkowice (2)";11,5;0,15;
0209073;"Prochowice (3)";117,1;1,63;
0211000;"Powiat lubiński";626,7;4,21;
0211011;"Lubin (1)";9124,4;5,19;
0211022;"Lubin (2)";165,6;2,91;
0211032;"Rudna (2)";36,9;1,03;
0211043;"Ścinawa (3)";109,5;1,82;
0212000;"Powiat lwówecki";114,1;1,78;
0212013;"Gryfów Śląski (3)";75,0;0,52;
0212023;"Lubomierz (3)";237,5;5,02;
0212033;"Lwówek Śląski (3)";187,6;2,62;
0213000;"Powiat milicki";134,3;2,61;
0213033;"Milicz (3)";220,4;3,99;
0214000;"Powiat oleśnicki";368,8;3,61;
0214011;"Oleśnica (1)";12547,7;7,11;
0214023;"Bierutów (3)";47,6;0,71;
0214062;"Oleśnica (2)";4,1;0,07;
0214073;"Syców (3)";227,4;1,96;
0214083;"Twardogóra (3)";494,5;6,44;
0215000;"Powiat oławski";351,1;2,40;
0215011;"Oława (1)";4020,5;3,32;
0215033;"Jelcz-Laskowice (3)";441,4;3,18;
0216000;"Powiat polkowicki";200,1;2,48;
0216043;"Polkowice (3)";841,0;5,09;
0216062;"Radwanice (2)";178,1;3,06;
0217000;"Powiat strzeliński";32,2;0,46;
0217043;"Strzelin (3)";116,7;0,91;
0218000;"Powiat średzki";367,8;4,67;
0218012;"Kostomłoty (2)";68,9;1,41;
0218032;"Miękinia (2)";495,9;5,05;
0218043;"Środa Śląska (3)";722,4;7,84;
0218052;"Udanin (2)";36,1;0,80;
0219000;"Powiat świdnicki";658,4;3,13;
0219011;"Świdnica (1)";11534,9;4,46;
0219021;"Świebodzice (1)";1347,4;1,81;
0219043;"Jaworzyna Śląska (3)";326,2;2,15;
0219063;"Strzegom (3)";324,9;1,84;
0219072;"Świdnica (2)";163,6;1,95;
0219083;"Żarów (3)";1058,7;7,54;
0220000;"Powiat trzebnicki";541,6;6,51;
0220013;"Oborniki Śląskie (3)";168,5;1,28;
0220023;"Prusice (3)";557,0;9,41;
0220033;"Trzebnica (3)";820,2;6,71;
