"Kod";"Nazwa";"ogółem;2020;[ob.]";
0000000;"POLSKA";14297;
0200000;"DOLNOŚLĄSKIE";870;
0201000;"Powiat bolesławiecki";35;
0201011;"Bolesławiec (1)";8;
0201022;"Bolesławiec (2)";8;
0201032;"Gromadka (2)";3;
0201043;"Nowogrodziec (3)";6;
0201044;"Nowogrodziec - miasto (4)";1;
0201045;"Nowogrodziec - obszar wiejski (5)";5;
0201052;"Osiecznica (2)";4;
0201062;"Warta Bolesławiecka (2)";6;
0202000;"Powiat dzierżoniowski";29;
0202011;"Bielawa (1)";7;
0202021;"Dzierżoniów (1)";7;
0202033;"Pieszyce (3)";3;
0202034;"Pieszyce - miasto (4)";3;
0202041;"Piława Górna (1)";2;
0202052;"Dzierżoniów (2)";5;
0202062;"Łagiewniki (2)";2;
0202073;"Niemcza (3)";3;
0202074;"Niemcza - miasto (4)";1;
0202075;"Niemcza - obszar wiejski (5)";2;
0203000;"Powiat głogowski";26;
0203011;"Głogów (1)";17;
0203022;"Głogów (2)";3;
0203032;"Jerzmanowa (2)";2;
0203042;"Kotla (2)";1;
0203052;"Pęcław (2)";1;
0203062;"Żukowice (2)";2;
0204000;"Powiat górowski";14;
0204013;"Góra (3)";6;
0204014;"Góra - miasto (4)";2;
0204015;"Góra - obszar wiejski (5)";4;
0204022;"Jemielno (2)";2;
0204032;"Niechlów (2)";2;
0204043;"Wąsosz (3)";4;
0204044;"Wąsosz - miasto (4)";2;
0204045;"Wąsosz - obszar wiejski (5)";2;
0205000;"Powiat jaworski";20;
0205011;"Jawor (1)";7;
0205023;"Bolków (3)";4;
0205024;"Bolków - miasto (4)";1;
0205025;"Bolków - obszar wiejski (5)";3;
0205032;"Męcinka (2)";2;
0205042;"Mściwojów (2)";2;
0205052;"Paszowice (2)";3;
0205062;"Wądroże Wielkie (2)";2;
0206000;"Powiat karkonoski";26;
0206011;"Karpacz (1)";3;
0206021;"Kowary (1)";2;
0206031;"Piechowice (1)";2;
0206041;"Szklarska Poręba (1)";3;
0206052;"Janowice Wielkie (2)";1;
0206062;"Jeżów Sudecki (2)";3;
0206072;"Mysłakowice (2)";3;
0206082;"Podgórzyn (2)";5;
0206092;"Stara Kamienica (2)";4;
0207000;"Powiat kamiennogórski";11;
0207011;"Kamienna Góra (1)";3;
0207022;"Kamienna Góra (2)";4;
0207033;"Lubawka (3)";3;
0207034;"Lubawka - miasto (4)";1;
0207035;"Lubawka - obszar wiejski (5)";2;
0207042;"Marciszów (2)";1;
0208000;"Powiat kłodzki";59;
0208011;"Duszniki-Zdrój (1)";1;
0208021;"Kłodzko (1)";9;
0208031;"Kudowa-Zdrój (1)";5;
0208041;"Nowa Ruda (1)";5;
0208051;"Polanica-Zdrój (1)";3;
0208063;"Bystrzyca Kłodzka (3)";9;
0208064;"Bystrzyca Kłodzka - miasto (4)";2;
0208065;"Bystrzyca Kłodzka - obszar wiejski (5)";7;
0208072;"Kłodzko (2)";7;
0208083;"Lądek-Zdrój (3)";2;
0208084;"Lądek-Zdrój - miasto (4)";1;
0208085;"Lądek-Zdrój - obszar wiejski (5)";1;
0208092;"Lewin Kłodzki (2)";1;
0208103;"Międzylesie (3)";2;
0208104;"Międzylesie - miasto (4)";1;
0208105;"Międzylesie - obszar wiejski (5)";1;
0208112;"Nowa Ruda (2)";7;
0208123;"Radków (3)";5;
0208124;"Radków - miasto (4)";1;
0208125;"Radków - obszar wiejski (5)";4;
0208133;"Stronie Śląskie (3)";1;
0208134;"Stronie Śląskie - miasto (4)";1;
0208143;"Szczytna (3)";2;
0208144;"Szczytna - miasto (4)";1;
0208145;"Szczytna - obszar wiejski (5)";1;
0209000;"Powiat legnicki";22;
0209011;"Chojnów (1)";2;
0209022;"Chojnów (2)";6;
0209032;"Krotoszyce (2)";2;
0209042;"Kunice (2)";4;
0209052;"Legnickie Pole (2)";2;
0209062;"Miłkowice (2)";2;
0209073;"Prochowice (3)";3;
0209074;"Prochowice - miasto (4)";2;
0209075;"Prochowice - obszar wiejski (5)";1;
0209082;"Ruja (2)";1;
0210000;"Powiat lubański";20;
0210011;"Lubań (1)";5;
0210021;"Świeradów-Zdrój (1)";2;
0210033;"Leśna (3)";2;
0210035;"Leśna - obszar wiejski (5)";2;
0210042;"Lubań (2)";4;
0210053;"Olszyna (3)";3;
0210054;"Olszyna - miasto (4)";2;
0210055;"Olszyna - obszar wiejski (5)";1;
