"Kod";"Nazwa";"ogółem;2020;[osoba]";
0000000;"POLSKA";24;
0200000;"DOLNOŚLĄSKIE";23;
0201000;"Powiat bolesławiecki";25;
0201011;"Bolesławiec (1)";25;
0202000;"Powiat dzierżoniowski";27;
0202011;"Bielawa (1)";27;
0202021;"Dzierżoniów (1)";28;
0202033;"Pieszyce (3)";0;
0202034;"Pieszyce - miasto (4)";0;
0203000;"Powiat głogowski";26;
0203011;"Głogów (1)";26;
0204000;"Powiat górowski";23;
0204013;"Góra (3)";23;
0204014;"Góra - miasto (4)";23;
0205000;"Powiat jaworski";26;
0205011;"Jawor (1)";25;
0205023;"Bolków (3)";32;
0205024;"Bolków - miasto (4)";32;
0206000;"Powiat karkonoski";12;
0206011;"Karpacz (1)";7;
0206031;"Piechowice (1)";21;
0207000;"Powiat kamiennogórski";25;
0207011;"Kamienna Góra (1)";25;
0208000;"Powiat kłodzki";21;
0208021;"Kłodzko (1)";21;
0208031;"Kudowa-Zdrój (1)";11;
0208041;"Nowa Ruda (1)";31;
0208051;"Polanica-Zdrój (1)";24;
0208063;"Bystrzyca Kłodzka (3)";26;
0208064;"Bystrzyca Kłodzka - miasto (4)";26;
0208112;"Nowa Ruda (2)";12;
0208133;"Stronie Śląskie (3)";13;
0208134;"Stronie Śląskie - miasto (4)";13;
0209000;"Powiat legnicki";11;
0209011;"Chojnów (1)";11;
0210000;"Powiat lubański";24;
0210011;"Lubań (1)";25;
0210053;"Olszyna (3)";23;
0210055;"Olszyna - obszar wiejski (5)";23;
0211000;"Powiat lubiński";23;
0211011;"Lubin (1)";24;
0211032;"Rudna (2)";10;
0212000;"Powiat lwówecki";20;
0212013;"Gryfów Śląski (3)";21;
0212014;"Gryfów Śląski - miasto (4)";21;
0212023;"Lubomierz (3)";16;
0212024;"Lubomierz - miasto (4)";16;
0212033;"Lwówek Śląski (3)";22;
0212034;"Lwówek Śląski - miasto (4)";22;
0212035;"Lwówek Śląski - obszar wiejski (5)";22;
0212043;"Mirsk (3)";13;
0212044;"Mirsk - miasto (4)";13;
0213000;"Powiat milicki";25;
0213033;"Milicz (3)";25;
0213034;"Milicz - miasto (4)";25;
0214000;"Powiat oleśnicki";23;
0214011;"Oleśnica (1)";26;
0214023;"Bierutów (3)";18;
0214024;"Bierutów - miasto (4)";18;
0214053;"Międzybórz (3)";11;
0214054;"Międzybórz - miasto (4)";11;
0214073;"Syców (3)";24;
0214074;"Syców - miasto (4)";24;
0214083;"Twardogóra (3)";21;
0214084;"Twardogóra - miasto (4)";21;
0215000;"Powiat oławski";26;
0215011;"Oława (1)";27;
0215033;"Jelcz-Laskowice (3)";21;
0215034;"Jelcz-Laskowice - miasto (4)";21;
0216000;"Powiat polkowicki";27;
0216013;"Chocianów (3)";28;
0216014;"Chocianów - miasto (4)";28;
0216043;"Polkowice (3)";26;
0216044;"Polkowice - miasto (4)";26;
0217000;"Powiat strzeliński";21;
0217043;"Strzelin (3)";21;
0217044;"Strzelin - miasto (4)";20;
0217045;"Strzelin - obszar wiejski (5)";25;
0218000;"Powiat średzki";22;
0218043;"Środa Śląska (3)";22;
0218044;"Środa Śląska - miasto (4)";22;
0219000;"Powiat świdnicki";25;
0219011;"Świdnica (1)";27;
0219021;"Świebodzice (1)";16;
0219063;"Strzegom (3)";26;
0219064;"Strzegom - miasto (4)";26;
0219072;"Świdnica (2)";16;
0219083;"Żarów (3)";25;
0219084;"Żarów - miasto (4)";25;
0220000;"Powiat trzebnicki";22;
0220013;"Oborniki Śląskie (3)";19;
0220014;"Oborniki Śląskie - miasto (4)";19;
0220033;"Trzebnica (3)";23;
0220034;"Trzebnica - miasto (4)";23;
0220063;"Żmigród (3)";22;
0220064;"Żmigród - miasto (4)";22;
0221000;"Powiat wałbrzyski";13;
0221031;"Szczawno-Zdrój (1)";13;
0222000;"Powiat wołowski";25;
0222013;"Brzeg Dolny (3)";23;
0222014;"Brzeg Dolny - miasto (4)";23;
0222033;"Wołów (3)";26;
0222034;"Wołów - miasto (4)";26;
0223000;"Powiat wrocławski";21;
0223052;"Kobierzyce (2)";22;
0223073;"Sobótka (3)";12;
0223074;"Sobótka - miasto (4)";12;
0224000;"Powiat ząbkowicki";24;
0224053;"Ząbkowice Śląskie (3)";24;
0224054;"Ząbkowice Śląskie - miasto (4)";24;
0224063;"Ziębice (3)";24;
0224064;"Ziębice - miasto (4)";24;
0225000;"Powiat zgorzelecki";27;
0225021;"Zgorzelec (1)";28;
0225033;"Bogatynia (3)";27;
0225034;"Bogatynia - miasto (4)";27;
0226000;"Powiat złotoryjski";20;
0226021;"Złotoryja (1)";20;
0261000;"Powiat m.Jelenia Góra";23;
0261011;"Jelenia Góra (1)";23;
0262000;"Powiat m.Legnica";25;
0262011;"Legnica (1)";25;
0264000;"Powiat m.Wrocław";22;
0264011;"Wrocław (1)";22;
0265000;"Powiat m.Wałbrzych od 2013";24;
0265011;"Wałbrzych od 2013 (1)";24;
0400000;"KUJAWSKO-POMORSKIE";24;
0401000;"Powiat aleksandrowski";20;
0401011;"Aleksandrów Kujawski (1)";20;
0402000;"Powiat brodnicki";24;
0402011;"Brodnica (1)";24;
0402073;"Jabłonowo Pomorskie (3)";21;
0402074;"Jabłonowo Pomorskie - miasto (4)";21;
0403000;"Powiat bydgoski";21;
0403032;"Dobrcz (2)";25;
0403043;"Koronowo (3)";23;
0403044;"Koronowo - miasto (4)";23;
0403083;"Solec Kujawski (3)";14;
0403084;"Solec Kujawski - miasto (4)";14;
0404000;"Powiat chełmiński";23;
0404011;"Chełmno (1)";23;
0404062;"Stolno (2)";24;
0405000;"Powiat golubsko-dobrzyński";21;
0405011;"Golub-Dobrzyń (1)";20;
0405043;"Kowalewo Pomorskie (3)";22;
0405044;"Kowalewo Pomorskie - miasto (4)";22;
0406000;"Powiat grudziądzki";20;
0406033;"Łasin (3)";20;
0406034;"Łasin - miasto (4)";20;
0407000;"Powiat inowrocławski";26;
0407011;"Inowrocław (1)";25;
0407063;"Kruszwica (3)";28;
0407064;"Kruszwica - miasto (4)";31;
0407065;"Kruszwica - obszar wiejski (5)";23;
0407073;"Pakość (3)";24;
0407075;"Pakość - obszar wiejski (5)";24;
0408000;"Powiat lipnowski";23;
0408011;"Lipno (1)";25;
0408043;"Dobrzyń nad Wisłą (3)";20;
0408044;"Dobrzyń nad Wisłą - miasto (4)";20;
0408073;"Skępe (3)";19;
0408074;"Skępe - miasto (4)";19;
0409000;"Powiat mogileński";25;
0409033;"Mogilno (3)";26;
0409034;"Mogilno - miasto (4)";28;
0409035;"Mogilno - obszar wiejski (5)";24;
0409043;"Strzelno (3)";22;
0409044;"Strzelno - miasto (4)";22;
0410000;"Powiat nakielski";25;
0410013;"Kcynia (3)";24;
0410014;"Kcynia - miasto (4)";24;
0410023;"Mrocza (3)";19;
0410024;"Mrocza - miasto (4)";19;
0410033;"Nakło nad Notecią (3)";27;
0410034;"Nakło nad Notecią - miasto (4)";27;
0410042;"Sadki (2)";20;
0410053;"Szubin (3)";23;
0410054;"Szubin - miasto (4)";29;
0410055;"Szubin - obszar wiejski (5)";15;
0411000;"Powiat radziejowski";21;
0411011;"Radziejów (1)";29;
0411062;"Radziejów (2)";17;
0412000;"Powiat rypiński";25;
0412011;"Rypin (1)";26;
0412032;"Rogowo (2)";16;
0413000;"Powiat sępoleński";25;
0413023;"Sępólno Krajeńskie (3)";26;
0413024;"Sępólno Krajeńskie - miasto (4)";26;
0413043;"Więcbork (3)";25;
0413044;"Więcbork - miasto (4)";30;
0413045;"Więcbork - obszar wiejski (5)";17;
0414000;"Powiat świecki";23;
0414063;"Nowe (3)";26;
0414064;"Nowe - miasto (4)";26;
0414093;"Świecie (3)";22;
0414094;"Świecie - miasto (4)";22;
0415000;"Powiat toruński";22;
0415011;"Chełmża (1)";21;
0415032;"Czernikowo (2)";21;
0415042;"Lubicz (2)";22;
0416000;"Powiat tucholski";30;
0416063;"Tuchola (3)";30;
0416064;"Tuchola - miasto (4)";30;
0417000;"Powiat wąbrzeski";23;
0417011;"Wąbrzeźno (1)";23;
0417052;"Ryńsk (2)";0;
0418000;"Powiat włocławski";23;
0418011;"Kowal (1)";20;
0418043;"Brześć Kujawski (3)";23;
0418045;"Brześć Kujawski - obszar wiejski (5)";23;
0418063;"Chodecz (3)";25;
0418065;"Chodecz - obszar wiejski (5)";25;
0418083;"Izbica Kujawska (3)";20;
0418084;"Izbica Kujawska - miasto (4)";20;
0418123;"Lubraniec (3)";24;
0418125;"Lubraniec - obszar wiejski (5)";24;
0419000;"Powiat żniński";20;
0419013;"Barcin (3)";10;
0419015;"Barcin - obszar wiejski (5)";10;
0419022;"Gąsawa (2)";11;
0419033;"Janowiec Wielkopolski (3)";16;
0419034;"Janowiec Wielkopolski - miasto (4)";16;
0419063;"Żnin (3)";26;
0419064;"Żnin - miasto (4)";26;
0461000;"Powiat m.Bydgoszcz";24;
0461011;"Bydgoszcz (1)";24;
0462000;"Powiat m.Grudziądz";24;
0462011;"Grudziądz (1)";24;
0463000;"Powiat m.Toruń";25;
0463011;"Toruń (1)";25;
0464000;"Powiat m.Włocławek";22;
0464011;"Włocławek (1)";22;
0600000;"LUBELSKIE";24;
0601000;"Powiat bialski";19;
0601011;"Międzyrzec Podlaski (1)";19;
0601052;"Janów Podlaski (2)";10;
0601082;"Leśna Podlaska (2)";21;
0601162;"Terespol (2)";26;
0602000;"Powiat biłgorajski";27;
0602011;"Biłgoraj (1)";28;
0602123;"Tarnogród (3)";17;
0602125;"Tarnogród - obszar wiejski (5)";17;
0603000;"Powiat chełmski";13;
0603032;"Chełm (2)";13;
0604000;"Powiat hrubieszowski";18;
0604011;"Hrubieszów (1)";18;
0605000;"Powiat janowski";22;
0605053;"Janów Lubelski (3)";24;
0605054;"Janów Lubelski - miasto (4)";24;
0605072;"Potok Wielki (2)";15;
0606000;"Powiat krasnostawski";23;
0606011;"Krasnystaw (1)";26;
0606102;"Siennica Różana (2)";15;
0606112;"Żółkiewka (2)";22;
0607000;"Powiat kraśnicki";22;
0607011;"Kraśnik (1)";23;
0607023;"Annopol (3)";25;
0607024;"Annopol - miasto (4)";25;
0607042;"Gościeradów (2)";10;
0607083;"Urzędów (3)";11;
0607084;"Urzędów - miasto (4)";11;
0608000;"Powiat lubartowski";24;
0608011;"Lubartów (1)";25;
0608103;"Ostrów Lubelski (3)";19;
0608104;"Ostrów Lubelski - miasto (4)";19;
0609000;"Powiat lubelski";22;
0609013;"Bełżyce (3)";22;
0609014;"Bełżyce - miasto (4)";22;
0609033;"Bychawa (3)";22;
0609034;"Bychawa - miasto (4)";22;
0609112;"Niemce (2)";24;
0609122;"Strzyżewice (2)";22;
0610000;"Powiat łęczyński";20;
0610033;"Łęczna (3)";21;
0610034;"Łęczna - miasto (4)";21;
0610042;"Milejów (2)";15;
0610062;"Spiczyn (2)";21;
0611000;"Powiat łukowski";24;
0611011;"Łuków (1)";24;
0611021;"Stoczek Łukowski (1)";23;
0612000;"Powiat opolski";19;
0612012;"Chodel (2)";17;
0612053;"Opole Lubelskie (3)";17;
0612054;"Opole Lubelskie - miasto (4)";20;
0612055;"Opole Lubelskie - obszar wiejski (5)";10;
0612063;"Poniatowa (3)";24;
0612064;"Poniatowa - miasto (4)";24;
0613000;"Powiat parczewski";22;
0613022;"Jabłoń (2)";20;
0613043;"Parczew (3)";23;
0613044;"Parczew - miasto (4)";23;
0614000;"Powiat puławski";26;
0614011;"Puławy (1)";26;
0614043;"Kazimierz Dolny (3)";27;
0614044;"Kazimierz Dolny - miasto (4)";27;
0614062;"Kurów (2)";0;
0614083;"Nałęczów (3)";23;
0614084;"Nałęczów - miasto (4)";23;
0615000;"Powiat radzyński";28;
0615011;"Radzyń Podlaski (1)";30;
0615022;"Borki (2)";17;
0616000;"Powiat rycki";26;
0616011;"Dęblin (1)";26;
0616043;"Ryki (3)";26;
0616044;"Ryki - miasto (4)";26;
0617000;"Powiat świdnicki";25;
0617011;"Świdnik (1)";26;
0617033;"Piaski (3)";23;
0617034;"Piaski - miasto (4)";23;
0617052;"Trawniki (2)";10;
0618000;"Powiat tomaszowski";24;
0618011;"Tomaszów Lubelski (1)";24;
0619000;"Powiat włodawski";20;
0619011;"Włodawa (1)";23;
0619062;"Włodawa (2)";17;
0620000;"Powiat zamojski";11;
0620133;"Szczebrzeszyn (3)";12;
0620134;"Szczebrzeszyn - miasto (4)";12;
0620153;"Zwierzyniec (3)";11;
0620154;"Zwierzyniec - miasto (4)";11;
0661000;"Powiat m.Biała Podlaska";26;
0661011;"Biała Podlaska (1)";26;
0662000;"Powiat m.Chełm";27;
0662011;"Chełm (1)";27;
0663000;"Powiat m.Lublin";24;
0663011;"Lublin (1)";24;
0664000;"Powiat m.Zamość";25;
0664011;"Zamość (1)";25;
0800000;"LUBUSKIE";24;
0801000;"Powiat gorzowski";16;
0801011;"Kostrzyn nad Odrą (1)";19;
0801073;"Witnica (3)";14;
0801074;"Witnica - miasto (4)";27;
0801075;"Witnica - obszar wiejski (5)";10;
0802000;"Powiat krośnieński";23;
0802011;"Gubin (1)";24;
0802063;"Krosno Odrzańskie (3)";22;
0802064;"Krosno Odrzańskie - miasto (4)";22;
0803000;"Powiat międzyrzecki";20;
0803023;"Międzyrzecz (3)";22;
0803024;"Międzyrzecz - miasto (4)";22;
0803025;"Międzyrzecz - obszar wiejski (5)";21;
0803053;"Skwierzyna (3)";16;
0803054;"Skwierzyna - miasto (4)";16;
0804000;"Powiat nowosolski";27;
0804011;"Nowa Sól (1)";27;
0804043;"Kożuchów (3)";25;
0804044;"Kożuchów - miasto (4)";25;
0805000;"Powiat słubicki";25;
0805043;"Rzepin (3)";27;
0805045;"Rzepin - obszar wiejski (5)";27;
0805053;"Słubice (3)";25;
0805054;"Słubice - miasto (4)";25;
0806000;"Powiat strzelecko-drezdenecki";29;
0806023;"Drezdenko (3)";28;
0806024;"Drezdenko - miasto (4)";28;
0806043;"Strzelce Krajeńskie (3)";29;
0806044;"Strzelce Krajeńskie - miasto (4)";29;
0807000;"Powiat sulęciński";23;
0807043;"Sulęcin (3)";23;
0807044;"Sulęcin - miasto (4)";23;
0808000;"Powiat świebodziński";25;
0808053;"Świebodzin (3)";25;
0808054;"Świebodzin - miasto (4)";25;
0808063;"Zbąszynek (3)";26;
0808064;"Zbąszynek - miasto (4)";24;
0808065;"Zbąszynek - obszar wiejski (5)";28;
0809000;"Powiat zielonogórski";23;
0809033;"Czerwieńsk (3)";7;
0809034;"Czerwieńsk - miasto (4)";7;
0809063;"Sulechów (3)";25;
0809064;"Sulechów - miasto (4)";25;
0810000;"Powiat żagański";21;
0810021;"Żagań (1)";20;
0810043;"Iłowa (3)";20;
0810044;"Iłowa - miasto (4)";20;
0810073;"Szprotawa (3)";23;
0810074;"Szprotawa - miasto (4)";25;
0810075;"Szprotawa - obszar wiejski (5)";19;
0811000;"Powiat żarski";26;
0811021;"Żary (1)";26;
0811063;"Lubsko (3)";25;
0811064;"Lubsko - miasto (4)";25;
0812000;"Powiat wschowski";20;
0812013;"Sława (3)";15;
0812014;"Sława - miasto (4)";15;
0812033;"Wschowa (3)";23;
0812034;"Wschowa - miasto (4)";23;
0861000;"Powiat m.Gorzów Wielkopolski";25;
0861011;"Gorzów Wielkopolski (1)";25;
0862000;"Powiat m.Zielona Góra";24;
0862011;"Zielona Góra (1)";24;
1000000;"ŁÓDZKIE";24;
1001000;"Powiat bełchatowski";25;
1001011;"Bełchatów (1)";25;
1001042;"Kleszczów (2)";23;
1001072;"Szczerców (2)";25;
1001083;"Zelów (3)";26;
1001084;"Zelów - miasto (4)";26;
1002000;"Powiat kutnowski";20;
1002011;"Kutno (1)";21;
1002052;"Krzyżanów (2)";18;
1002113;"Żychlin (3)";20;
1002114;"Żychlin - miasto (4)";20;
1003000;"Powiat łaski";26;
1003023;"Łask (3)";26;
1003024;"Łask - miasto (4)";26;
1003032;"Sędziejowice (2)";28;
1004000;"Powiat łęczycki";26;
1004011;"Łęczyca (1)";26;
1004063;"Piątek (3)";27;
1004064;"Piątek - miasto (4)";27;
1005000;"Powiat łowicki";20;
1005011;"Łowicz (1)";20;
1005102;"Zduny (2)";22;
1006000;"Powiat łódzki wschodni";20;
1006073;"Koluszki (3)";20;
1006074;"Koluszki - miasto (4)";20;
1007000;"Powiat opoczyński";30;
