"Kod";"Nazwa";"ludność korzystająca z sieci wodociągowej;2020;[osoba]";
0000000;"POLSKA";35298568;
0200000;"DOLNOŚLĄSKIE";2748083;
0201000;"Powiat bolesławiecki";88295;
0201011;"Bolesławiec (1)";38448;
0201022;"Bolesławiec (2)";14033;
0201032;"Gromadka (2)";5175;
0201043;"Nowogrodziec (3)";14875;
0201044;"Nowogrodziec - miasto (4)";4101;
0201045;"Nowogrodziec - obszar wiejski (5)";10774;
0201052;"Osiecznica (2)";7188;
0201062;"Warta Bolesławiecka (2)";8576;
0202000;"Powiat dzierżoniowski";93979;
0202011;"Bielawa (1)";28634;
0202021;"Dzierżoniów (1)";32866;
0202033;"Pieszyce (3)";6918;
0202034;"Pieszyce - miasto (4)";6262;
0202035;"Pieszyce - obszar wiejski (5)";656;
0202041;"Piława Górna (1)";5827;
0202052;"Dzierżoniów (2)";9009;
0202062;"Łagiewniki (2)";6663;
0202073;"Niemcza (3)";4062;
0202074;"Niemcza - miasto (4)";2618;
0202075;"Niemcza - obszar wiejski (5)";1444;
0203000;"Powiat głogowski";86669;
0203011;"Głogów (1)";64908;
0203022;"Głogów (2)";6839;
0203032;"Jerzmanowa (2)";5346;
0203042;"Kotla (2)";4417;
0203052;"Pęcław (2)";1980;
0203062;"Żukowice (2)";3179;
0204000;"Powiat górowski";33674;
0204013;"Góra (3)";19618;
0204014;"Góra - miasto (4)";11512;
0204015;"Góra - obszar wiejski (5)";8106;
0204022;"Jemielno (2)";2965;
0204032;"Niechlów (2)";4739;
0204043;"Wąsosz (3)";6352;
0204044;"Wąsosz - miasto (4)";2643;
0204045;"Wąsosz - obszar wiejski (5)";3709;
0205000;"Powiat jaworski";45049;
0205011;"Jawor (1)";22451;
0205023;"Bolków (3)";7211;
0205024;"Bolków - miasto (4)";4784;
0205025;"Bolków - obszar wiejski (5)";2427;
0205032;"Męcinka (2)";3970;
0205042;"Mściwojów (2)";4027;
0205052;"Paszowice (2)";3790;
0205062;"Wądroże Wielkie (2)";3600;
0206000;"Powiat karkonoski";53895;
0206011;"Karpacz (1)";4461;
0206021;"Kowary (1)";10644;
0206031;"Piechowice (1)";5714;
0206041;"Szklarska Poręba (1)";6343;
0206052;"Janowice Wielkie (2)";3074;
0206062;"Jeżów Sudecki (2)";6636;
0206072;"Mysłakowice (2)";7176;
0206082;"Podgórzyn (2)";7908;
0206092;"Stara Kamienica (2)";1939;
0207000;"Powiat kamiennogórski";38847;
0207011;"Kamienna Góra (1)";18580;
0207022;"Kamienna Góra (2)";7611;
0207033;"Lubawka (3)";9199;
0207034;"Lubawka - miasto (4)";5876;
0207035;"Lubawka - obszar wiejski (5)";3323;
0207042;"Marciszów (2)";3457;
0208000;"Powiat kłodzki";134468;
0208011;"Duszniki-Zdrój (1)";4145;
0208021;"Kłodzko (1)";25285;
0208031;"Kudowa-Zdrój (1)";9701;
0208041;"Nowa Ruda (1)";21071;
0208051;"Polanica-Zdrój (1)";6050;
0208063;"Bystrzyca Kłodzka (3)";14071;
0208064;"Bystrzyca Kłodzka - miasto (4)";9684;
0208065;"Bystrzyca Kłodzka - obszar wiejski (5)";4387;
0208072;"Kłodzko (2)";11459;
0208083;"Lądek-Zdrój (3)";5926;
0208084;"Lądek-Zdrój - miasto (4)";5462;
0208085;"Lądek-Zdrój - obszar wiejski (5)";464;
0208092;"Lewin Kłodzki (2)";1317;
0208103;"Międzylesie (3)";4227;
0208104;"Międzylesie - miasto (4)";2377;
0208105;"Międzylesie - obszar wiejski (5)";1850;
0208112;"Nowa Ruda (2)";10270;
0208123;"Radków (3)";8935;
0208124;"Radków - miasto (4)";2401;
0208125;"Radków - obszar wiejski (5)";6534;
0208133;"Stronie Śląskie (3)";5974;
0208134;"Stronie Śląskie - miasto (4)";5184;
0208135;"Stronie Śląskie - obszar wiejski (5)";790;
0208143;"Szczytna (3)";6037;
0208144;"Szczytna - miasto (4)";4711;
0208145;"Szczytna - obszar wiejski (5)";1326;
0209000;"Powiat legnicki";53507;
0209011;"Chojnów (1)";12979;
0209022;"Chojnów (2)";9008;
0209032;"Krotoszyce (2)";3215;
0209042;"Kunice (2)";7125;
0209052;"Legnickie Pole (2)";4595;
0209062;"Miłkowice (2)";6700;
0209073;"Prochowice (3)";7328;
0209074;"Prochowice - miasto (4)";3542;
0209075;"Prochowice - obszar wiejski (5)";3786;
0209082;"Ruja (2)";2557;
0210000;"Powiat lubański";46302;
0210011;"Lubań (1)";20628;
0210021;"Świeradów-Zdrój (1)";3518;
0210033;"Leśna (3)";5548;
0210034;"Leśna - miasto (4)";4386;
0210035;"Leśna - obszar wiejski (5)";1162;
0210042;"Lubań (2)";4715;
0210053;"Olszyna (3)";5906;
0210054;"Olszyna - miasto (4)";4325;
0210055;"Olszyna - obszar wiejski (5)";1581;
0210062;"Platerówka (2)";1616;
0210072;"Siekierczyn (2)";4371;
0211000;"Powiat lubiński";105813;
0211011;"Lubin (1)";71651;
0211022;"Lubin (2)";16508;
0211032;"Rudna (2)";7785;
0211043;"Ścinawa (3)";9869;
0211044;"Ścinawa - miasto (4)";5525;
0211045;"Ścinawa - obszar wiejski (5)";4344;
0212000;"Powiat lwówecki";35527;
0212013;"Gryfów Śląski (3)";9129;
0212014;"Gryfów Śląski - miasto (4)";6394;
0212015;"Gryfów Śląski - obszar wiejski (5)";2735;
0212023;"Lubomierz (3)";2397;
0212024;"Lubomierz - miasto (4)";1942;
0212025;"Lubomierz - obszar wiejski (5)";455;
0212033;"Lwówek Śląski (3)";17052;
0212034;"Lwówek Śląski - miasto (4)";8724;
0212035;"Lwówek Śląski - obszar wiejski (5)";8328;
0212043;"Mirsk (3)";4592;
0212044;"Mirsk - miasto (4)";3281;
0212045;"Mirsk - obszar wiejski (5)";1311;
0212053;"Wleń (3)";2357;
0212054;"Wleń - miasto (4)";1578;
0212055;"Wleń - obszar wiejski (5)";779;
0213000;"Powiat milicki";34389;
0213012;"Cieszków (2)";4653;
0213022;"Krośnice (2)";7854;
0213033;"Milicz (3)";21882;
0213034;"Milicz - miasto (4)";10704;
0213035;"Milicz - obszar wiejski (5)";11178;
0214000;"Powiat oleśnicki";105070;
0214011;"Oleśnica (1)";36942;
0214023;"Bierutów (3)";9219;
0214024;"Bierutów - miasto (4)";4804;
0214025;"Bierutów - obszar wiejski (5)";4415;
