"Kod";"Nazwa";"drogi gminne i powiatowe o twardej nawierzchni;na 100 km2;2020;[km]";"drogi gminne i powiatowe o twardej nawierzchni;na 10 tys. ludności;2020;[km]";"drogi gminne i powiatowe o gruntowej nawierzchni;na 100 km2;2020;[km]";"drogi gminne i powiatowe o gruntowej nawierzchni;na 10 tys. ludności;2020;[km]";
0000000;"POLSKA";84,7;69,2;37,3;30,5;
0200000;"DOLNOŚLĄSKIE";88,1;60,8;19,9;13,7;
0201000;"Powiat bolesławiecki";48,0;69,7;6,5;9,4;
0202000;"Powiat dzierżoniowski";101,8;48,7;37,4;17,9;
0203000;"Powiat głogowski";94,7;47,4;24,3;12,2;
0204000;"Powiat górowski";69,1;147,6;24,2;51,7;
0205000;"Powiat jaworski";78,7;92,0;16,7;19,6;
0206000;"Powiat karkonoski";103,9;102,9;26,1;25,9;
0207000;"Powiat kamiennogórski";83,8;77,4;37,6;34,7;
0208000;"Powiat kłodzki";80,6;84,7;6,4;6,7;
0209000;"Powiat legnicki";66,3;89,6;21,1;28,5;
0210000;"Powiat lubański";104,2;82,9;9,1;7,2;
0211000;"Powiat lubiński";61,6;41,4;4,7;3,1;
0212000;"Powiat lwówecki";213,1;331,6;8,0;12,5;
0213000;"Powiat milicki";52,1;101,3;8,4;16,2;
0214000;"Powiat oleśnicki";78,8;77,1;21,6;21,2;
0215000;"Powiat oławski";65,5;44,7;15,1;10,3;
0216000;"Powiat polkowicki";57,1;70,6;25,8;32,0;
0217000;"Powiat strzeliński";82,0;118,1;12,7;18,3;
0218000;"Powiat średzki";72,5;91,9;29,0;36,8;
0219000;"Powiat świdnicki";105,2;50,0;27,7;13,2;
0220000;"Powiat trzebnicki";128,5;154,5;76,9;92,5;
0221000;"Powiat wałbrzyski";94,8;74,0;18,1;14,2;
0222000;"Powiat wołowski";52,4;75,9;26,3;38,1;
0223000;"Powiat wrocławski";95,1;68,0;14,4;10,3;
0224000;"Powiat ząbkowicki";61,5;77,0;7,1;8,9;
0225000;"Powiat zgorzelecki";64,0;60,7;5,8;5,5;
0226000;"Powiat złotoryjski";76,0;101,7;17,6;23,6;
0261000;"Powiat m.Jelenia Góra";187,2;26,1;8,1;1,1;
0262000;"Powiat m.Legnica";359,0;20,5;91,0;5,2;
0264000;"Powiat m.Wrocław";311,8;14,2;29,5;1,3;
0265000;"Powiat m.Wałbrzych od 2013";194,5;15,0;5,5;0,4;
0400000;"KUJAWSKO-POMORSKIE";89,6;78,1;46,6;40,6;
0401000;"Powiat aleksandrowski";136,2;117,8;45,6;39,4;
0402000;"Powiat brodnicki";82,0;107,9;84,2;110,8;
0403000;"Powiat bydgoski";74,2;85,9;38,1;44,1;
0404000;"Powiat chełmiński";114,0;116,2;44,8;45,7;
0405000;"Powiat golubsko-dobrzyński";86,7;118,5;33,6;46,0;
0406000;"Powiat grudziądzki";98,5;177,9;75,1;135,6;
0407000;"Powiat inowrocławski";84,1;65,0;25,9;20,0;
0408000;"Powiat lipnowski";76,6;118,9;75,0;116,4;
0409000;"Powiat mogileński";96,9;143,9;23,8;35,4;
0410000;"Powiat nakielski";65,2;84,8;49,6;64,6;
0411000;"Powiat radziejowski";140,2;212,7;42,2;64,0;
0412000;"Powiat rypiński";71,4;96,5;66,7;90,1;
0413000;"Powiat sępoleński";55,2;107,0;30,4;58,8;
0414000;"Powiat świecki";66,9;99,8;41,1;61,4;
0415000;"Powiat toruński";87,0;97,7;41,3;46,4;
0416000;"Powiat tucholski";59,8;133,1;35,4;78,8;
0417000;"Powiat wąbrzeski";90,4;133,4;91,4;134,7;
0418000;"Powiat włocławski";112,2;193,0;38,6;66,3;
0419000;"Powiat żniński";86,4;121,8;21,2;29,8;
0461000;"Powiat m.Bydgoszcz";293,2;15,0;108,8;5,6;
0462000;"Powiat m.Grudziądz";243,9;15,1;95,6;5,9;
0463000;"Powiat m.Toruń";307,5;17,9;54,5;3,2;
0464000;"Powiat m.Włocławek";174,7;13,6;45,7;3,5;
0600000;"LUBELSKIE";81,6;97,8;58,2;69,8;
0601000;"Powiat bialski";57,2;143,3;76,8;192,3;
0602000;"Powiat biłgorajski";59,0;98,8;35,6;59,7;
0603000;"Powiat chełmski";74,5;181,4;101,6;247,2;
0604000;"Powiat hrubieszowski";117,3;239,9;39,1;80,0;
0605000;"Powiat janowski";74,8;145,1;41,9;81,2;
0606000;"Powiat krasnostawski";72,7;119,8;29,6;48,8;
0607000;"Powiat kraśnicki";82,6;87,8;28,6;30,4;
0608000;"Powiat lubartowski";72,9;106,9;115,8;169,9;
0609000;"Powiat lubelski";102,2;109,6;32,6;35,0;
0610000;"Powiat łęczyński";103,1;114,7;76,6;85,3;
0611000;"Powiat łukowski";109,2;143,4;33,0;43,3;
0612000;"Powiat opolski";90,8;125,3;73,7;101,7;
0613000;"Powiat parczewski";51,8;143,6;62,9;174,2;
0614000;"Powiat puławski";95,2;79,1;34,4;28,6;
0615000;"Powiat radzyński";88,4;146,3;57,6;95,4;
0616000;"Powiat rycki";103,4;114,4;43,9;48,5;
0617000;"Powiat świdnicki";109,2;71,6;131,6;86,3;
0618000;"Powiat tomaszowski";76,5;139,0;26,3;47,7;
0619000;"Powiat włodawski";38,5;127,5;61,8;204,2;
0620000;"Powiat zamojski";71,7;127,3;68,6;121,8;
0661000;"Powiat m.Biała Podlaska";323,9;28,1;100,0;8,7;
0662000;"Powiat m.Chełm";333,9;19,3;68,9;4,0;
0663000;"Powiat m.Lublin";331,7;14,4;37,8;1,6;
0664000;"Powiat m.Zamość";373,4;18,0;48,1;2,3;
0800000;"LUBUSKIE";51,3;71,3;48,0;66,7;
0801000;"Powiat gorzowski";61,0;102,4;45,0;75,6;
0802000;"Powiat krośnieński";34,7;88,5;28,5;72,6;
0803000;"Powiat międzyrzecki";34,8;84,5;75,7;183,9;
0804000;"Powiat nowosolski";59,7;53,6;57,7;51,9;
0805000;"Powiat słubicki";42,4;90,3;38,9;82,9;
0806000;"Powiat strzelecko-drezdenecki";86,4;221,8;50,7;130,2;
0807000;"Powiat sulęciński";32,2;108,5;40,1;134,8;
0808000;"Powiat świebodziński";57,2;96,5;35,4;59,7;
0809000;"Powiat zielonogórski";41,6;74,2;55,7;99,3;
0810000;"Powiat żagański";52,6;76,1;29,8;43,1;
0811000;"Powiat żarski";56,8;82,9;28,7;41,8;
0812000;"Powiat wschowski";37,7;60,9;133,1;215,2;
0861000;"Powiat m.Gorzów Wielkopolski";207,4;14,5;26,5;1,9;
0862000;"Powiat m.Zielona Góra";83,4;16,5;40,1;7,9;
1000000;"ŁÓDZKIE";101,3;75,7;27,4;20,5;
1001000;"Powiat bełchatowski";90,6;78,0;33,0;28,4;
1002000;"Powiat kutnowski";150,8;140,0;23,0;21,4;
1003000;"Powiat łaski";86,1;107,1;29,5;36,7;
1004000;"Powiat łęczycki";120,2;188,5;26,3;41,3;
1005000;"Powiat łowicki";110,1;140,2;12,7;16,2;
1006000;"Powiat łódzki wschodni";123,9;85,3;49,5;34,1;
1007000;"Powiat opoczyński";71,4;98,3;22,9;31,5;
1008000;"Powiat pabianicki";119,9;49,6;35,2;14,6;
1009000;"Powiat pajęczański";83,0;130,9;37,4;59,0;
1010000;"Powiat piotrkowski";92,6;145,1;13,2;20,7;
1011000;"Powiat poddębicki";73,0;157,3;24,3;52,2;
1012000;"Powiat radomszczański";78,0;100,7;13,3;17,2;
1013000;"Powiat rawski";93,9;125,4;42,2;56,4;
1014000;"Powiat sieradzki";74,4;94,8;25,8;32,8;
1015000;"Powiat skierniewicki";91,5;180,6;26,1;51,4;
1016000;"Powiat tomaszowski";102,5;90,7;33,2;29,4;
1017000;"Powiat wieluński";101,4;124,0;22,4;27,4;
1018000;"Powiat wieruszowski";104,2;143,3;54,5;74,9;
1019000;"Powiat zduńskowolski";126,6;70,7;20,0;11,2;
1020000;"Powiat zgierski";123,7;63,8;39,9;20,6;
1021000;"Powiat brzeziński";105,5;123,4;10,2;11,9;
1061000;"Powiat m.Łódź";253,9;11,1;72,4;3,2;
1062000;"Powiat m.Piotrków Trybunalski";285,4;26,6;28,6;2,7;
1063000;"Powiat m.Skierniewice";407,5;29,6;36,4;2,6;
1200000;"MAŁOPOLSKIE";155,5;69,2;34,7;15,4;
1201000;"Powiat bocheński";142,5;86,4;8,0;4,9;
1202000;"Powiat brzeski";161,8;102,7;19,8;12,6;
1203000;"Powiat chrzanowski";192,4;57,6;17,7;5,3;
1204000;"Powiat dąbrowski";177,2;159,3;39,1;35,1;
1205000;"Powiat gorlicki";120,6;107,5;12,8;11,4;
1206000;"Powiat krakowski";177,5;77,6;9,6;4,2;
1207000;"Powiat limanowski";121,4;87,4;24,4;17,6;
1208000;"Powiat miechowski";162,4;226,7;25,8;36,0;
1209000;"Powiat myślenicki";118,8;62,5;4,8;2,5;
1210000;"Powiat nowosądecki";176,9;126,3;35,7;25,5;
1211000;"Powiat nowotarski";113,4;87,3;86,4;66,5;
1212000;"Powiat olkuski";119,0;66,6;7,5;4,2;
1213000;"Powiat oświęcimski";188,5;50,1;9,0;2,4;
1214000;"Powiat proszowicki";193,2;186,2;45,7;44,1;
1215000;"Powiat suski";118,1;96,7;151,7;124,2;
1216000;"Powiat tarnowski";150,8;105,8;31,7;22,2;
1217000;"Powiat tatrzański";114,1;79,1;19,8;13,7;
1218000;"Powiat wadowicki";185,5;75,0;33,1;13,4;
1219000;"Powiat wielicki";196,4;61,7;26,0;8,2;
1261000;"Powiat m.Kraków";300,7;12,6;19,8;0,8;
1262000;"Powiat m.Nowy Sącz";381,7;26,3;47,9;3,3;
1263000;"Powiat m.Tarnów";377,6;25,4;61,9;4,2;
1400000;"MAZOWIECKIE";97,0;63,6;43,8;28,7;
1401000;"Powiat białobrzeski";86,4;165,6;24,3;46,6;
1402000;"Powiat ciechanowski";100,8;120,2;36,2;43,2;
1403000;"Powiat garwoliński";90,3;106,8;41,9;49,6;
1404000;"Powiat gostyniński";91,4;126,0;25,6;35,4;
1405000;"Powiat grodziski";141,5;53,3;45,3;17,1;
1406000;"Powiat grójecki";97,6;126,3;31,1;40,2;
1407000;"Powiat kozienicki";69,9;107,5;45,3;69,6;
1408000;"Powiat legionowski";108,1;35,2;29,1;9,5;
1409000;"Powiat lipski";94,2;207,6;45,1;99,4;
1410000;"Powiat łosicki";70,0;176,9;51,0;128,9;
1411000;"Powiat makowski";84,9;203,5;35,5;85,1;
1412000;"Powiat miński";109,9;82,5;54,2;40,7;
1413000;"Powiat mławski";80,4;131,4;22,4;36,6;
1414000;"Powiat nowodworski";103,2;90,5;26,2;22,9;
1415000;"Powiat ostrołęcki";76,5;181,0;29,9;70,7;
1416000;"Powiat ostrowski";78,1;132,4;74,3;126,1;
1417000;"Powiat otwocki";104,3;51,7;93,2;46,2;
1418000;"Powiat piaseczyński";149,0;48,6;79,9;26,0;
1419000;"Powiat płocki";77,5;125,7;47,8;77,5;
1420000;"Powiat płoński";103,0;163,9;80,0;127,4;
1421000;"Powiat pruszkowski";287,7;42,5;88,5;13,1;
1422000;"Powiat przasnyski";70,7;165,4;23,8;55,6;
1423000;"Powiat przysuski";72,3;140,8;32,0;62,4;
1424000;"Powiat pułtuski";87,9;140,6;68,7;109,8;
1425000;"Powiat radomski";95,2;95,7;20,4;20,5;
1426000;"Powiat siedlecki";72,6;143,0;23,8;46,9;
1427000;"Powiat sierpecki";91,5;151,3;26,6;44,0;
