"Kod";"Nazwa";"ludność korzystająca z sieci gazowej;2020;[osoba]";
0000000;"POLSKA";20753962;
0200000;"DOLNOŚLĄSKIE";1810889;
0201000;"Powiat bolesławiecki";45587;
0201011;"Bolesławiec (1)";35731;
0201022;"Bolesławiec (2)";4269;
0201043;"Nowogrodziec (3)";2179;
0201044;"Nowogrodziec - miasto (4)";1999;
0201045;"Nowogrodziec - obszar wiejski (5)";180;
0201052;"Osiecznica (2)";1679;
0201062;"Warta Bolesławiecka (2)";1729;
0202000;"Powiat dzierżoniowski";78893;
0202011;"Bielawa (1)";28623;
0202021;"Dzierżoniów (1)";30592;
0202033;"Pieszyce (3)";8093;
0202034;"Pieszyce - miasto (4)";6285;
0202035;"Pieszyce - obszar wiejski (5)";1808;
0202041;"Piława Górna (1)";6194;
0202052;"Dzierżoniów (2)";2345;
0202073;"Niemcza (3)";3046;
0202074;"Niemcza - miasto (4)";2217;
0202075;"Niemcza - obszar wiejski (5)";829;
0203000;"Powiat głogowski";64061;
0203011;"Głogów (1)";59401;
0203022;"Głogów (2)";1688;
0203032;"Jerzmanowa (2)";1894;
0203062;"Żukowice (2)";1078;
0204000;"Powiat górowski";13964;
0204013;"Góra (3)";11489;
0204014;"Góra - miasto (4)";10707;
0204015;"Góra - obszar wiejski (5)";782;
0204043;"Wąsosz (3)";2475;
0204044;"Wąsosz - miasto (4)";2475;
0205000;"Powiat jaworski";27896;
0205011;"Jawor (1)";21379;
0205023;"Bolków (3)";4652;
0205024;"Bolków - miasto (4)";4548;
0205025;"Bolków - obszar wiejski (5)";104;
0205032;"Męcinka (2)";649;
0205052;"Paszowice (2)";1216;
0206000;"Powiat karkonoski";33546;
0206011;"Karpacz (1)";3641;
0206021;"Kowary (1)";9335;
0206031;"Piechowice (1)";4853;
0206041;"Szklarska Poręba (1)";4950;
0206062;"Jeżów Sudecki (2)";3012;
0206072;"Mysłakowice (2)";3621;
0206082;"Podgórzyn (2)";4134;
0207000;"Powiat kamiennogórski";25038;
0207011;"Kamienna Góra (1)";18162;
0207022;"Kamienna Góra (2)";1390;
0207033;"Lubawka (3)";5486;
0207034;"Lubawka - miasto (4)";5486;
0208000;"Powiat kłodzki";86786;
0208011;"Duszniki-Zdrój (1)";3904;
0208021;"Kłodzko (1)";24935;
0208031;"Kudowa-Zdrój (1)";9324;
0208041;"Nowa Ruda (1)";11529;
0208051;"Polanica-Zdrój (1)";5299;
0208063;"Bystrzyca Kłodzka (3)";9566;
0208064;"Bystrzyca Kłodzka - miasto (4)";9240;
0208065;"Bystrzyca Kłodzka - obszar wiejski (5)";326;
0208072;"Kłodzko (2)";3966;
0208083;"Lądek-Zdrój (3)";5106;
0208084;"Lądek-Zdrój - miasto (4)";5103;
0208085;"Lądek-Zdrój - obszar wiejski (5)";3;
0208092;"Lewin Kłodzki (2)";1402;
0208103;"Międzylesie (3)";2161;
0208104;"Międzylesie - miasto (4)";2156;
0208105;"Międzylesie - obszar wiejski (5)";5;
0208123;"Radków (3)";2273;
0208124;"Radków - miasto (4)";2253;
0208125;"Radków - obszar wiejski (5)";20;
0208133;"Stronie Śląskie (3)";4606;
0208134;"Stronie Śląskie - miasto (4)";4472;
0208135;"Stronie Śląskie - obszar wiejski (5)";134;
0208143;"Szczytna (3)";2715;
0208144;"Szczytna - miasto (4)";2617;
0208145;"Szczytna - obszar wiejski (5)";98;
0209000;"Powiat legnicki";21759;
0209011;"Chojnów (1)";12931;
0209022;"Chojnów (2)";120;
0209032;"Krotoszyce (2)";840;
0209042;"Kunice (2)";5279;
0209052;"Legnickie Pole (2)";51;
0209062;"Miłkowice (2)";296;
0209073;"Prochowice (3)";2226;
0209074;"Prochowice - miasto (4)";1473;
0209075;"Prochowice - obszar wiejski (5)";753;
0209082;"Ruja (2)";16;
0210000;"Powiat lubański";28596;
0210011;"Lubań (1)";19832;
0210021;"Świeradów-Zdrój (1)";2611;
0210033;"Leśna (3)";3074;
0210034;"Leśna - miasto (4)";2872;
0210035;"Leśna - obszar wiejski (5)";202;
0210042;"Lubań (2)";46;
0210053;"Olszyna (3)";2737;
0210054;"Olszyna - miasto (4)";2737;
0210062;"Platerówka (2)";3;
0210072;"Siekierczyn (2)";293;
0211000;"Powiat lubiński";87046;
0211011;"Lubin (1)";69432;
0211022;"Lubin (2)";10731;
0211032;"Rudna (2)";6513;
0211043;"Ścinawa (3)";370;
0211044;"Ścinawa - miasto (4)";364;
0211045;"Ścinawa - obszar wiejski (5)";6;
0212000;"Powiat lwówecki";14144;
0212013;"Gryfów Śląski (3)";6419;
0212014;"Gryfów Śląski - miasto (4)";6252;
0212015;"Gryfów Śląski - obszar wiejski (5)";167;
0212023;"Lubomierz (3)";79;
0212024;"Lubomierz - miasto (4)";76;
0212025;"Lubomierz - obszar wiejski (5)";3;
0212033;"Lwówek Śląski (3)";7575;
0212034;"Lwówek Śląski - miasto (4)";7453;
0212035;"Lwówek Śląski - obszar wiejski (5)";122;
0212043;"Mirsk (3)";71;
